player_name,espn_id,team,position,season,category,fetched_at,GP,BIG,YDS/G,FUM,LST,FD,RUSH_YDS,RUSH_TD,RUSH_AVG,CAR,RUSH_LNG
Ezekiel Elliott,3051392,DAL,RB,2018,rushing,2026-07-03T11:35:43.349205,15.0,11.0,95.6,6.0,1.0,73.0,1434.0,6.0,4.7,304.0,41.0
Saquon Barkley,3929630,NYG,RB,2018,rushing,2026-07-03T11:35:43.349205,16.0,16.0,81.7,0.0,0.0,50.0,1307.0,11.0,5.0,261.0,78.0
Todd Gurley,2977644,LAR,RB,2018,rushing,2026-07-03T11:35:43.349205,14.0,11.0,89.4,0.0,0.0,70.0,1251.0,17.0,4.9,256.0,36.0
Joe Mixon,3116385,CIN,RB,2018,rushing,2026-07-03T11:35:43.349205,14.0,11.0,83.4,0.0,0.0,60.0,1168.0,8.0,4.9,237.0,51.0
Chris Carson,3919596,SEA,RB,2018,rushing,2026-07-03T11:35:43.349205,14.0,8.0,82.2,3.0,2.0,61.0,1151.0,9.0,4.7,247.0,61.0
Christian McCaffrey,3117251,CAR,RB,2018,rushing,2026-07-03T11:35:43.349205,16.0,6.0,68.6,2.0,1.0,53.0,1098.0,7.0,5.0,219.0,59.0
Derrick Henry,3043078,TEN,RB,2018,rushing,2026-07-03T11:35:43.349205,16.0,4.0,66.2,0.0,0.0,51.0,1059.0,12.0,4.9,215.0,99.0
Adrian Peterson,10452,WSH,RB,2018,rushing,2026-07-03T11:35:43.349205,16.0,5.0,65.1,2.0,1.0,47.0,1042.0,7.0,4.2,251.0,90.0
Phillip Lindsay,3052117,DEN,RB,2018,rushing,2026-07-03T11:35:43.349205,15.0,8.0,69.1,0.0,0.0,49.0,1037.0,9.0,5.4,192.0,65.0
Nick Chubb,3128720,CLE,RB,2018,rushing,2026-07-03T11:35:43.349205,16.0,11.0,62.3,0.0,0.0,47.0,996.0,8.0,5.2,192.0,92.0
Lamar Miller,14886,HOU,RB,2018,rushing,2026-07-03T11:35:43.349205,14.0,6.0,69.5,0.0,0.0,36.0,973.0,5.0,4.6,210.0,97.0
James Conner,3045147,PIT,RB,2018,rushing,2026-07-03T11:35:43.349205,13.0,9.0,74.8,3.0,1.0,56.0,973.0,12.0,4.5,215.0,30.0
David Johnson,2508176,ARI,RB,2018,rushing,2026-07-03T11:35:43.349205,16.0,2.0,58.8,2.0,2.0,51.0,940.0,7.0,3.6,258.0,53.0
Jordan Howard,3060022,CHI,RB,2018,rushing,2026-07-03T11:35:43.349205,16.0,5.0,58.4,2.0,1.0,53.0,935.0,9.0,3.7,250.0,42.0
Sony Michel,3128721,NE,RB,2018,rushing,2026-07-03T11:35:43.349205,13.0,4.0,71.6,1.0,1.0,54.0,931.0,6.0,4.5,209.0,34.0
Marlon Mack,3139605,IND,RB,2018,rushing,2026-07-03T11:35:43.349205,12.0,7.0,75.7,1.0,1.0,50.0,908.0,9.0,4.7,195.0,49.0
Melvin Gordon III,2576434,LAC,RB,2018,rushing,2026-07-03T11:35:43.349205,12.0,9.0,73.8,0.0,0.0,47.0,885.0,10.0,5.1,175.0,34.0
Alvin Kamara,3054850,NO,RB,2018,rushing,2026-07-03T11:35:43.349205,15.0,1.0,58.9,0.0,0.0,57.0,883.0,14.0,4.6,194.0,49.0
Peyton Barber,3051902,TB,RB,2018,rushing,2026-07-03T11:35:43.349205,16.0,4.0,54.4,1.0,1.0,41.0,871.0,5.0,3.7,234.0,28.0
Kareem Hunt,3059915,KC,RB,2018,rushing,2026-07-03T11:35:43.349205,11.0,7.0,74.9,0.0,0.0,46.0,824.0,7.0,4.6,181.0,45.0
Matt Breida,3049916,SF,RB,2018,rushing,2026-07-03T11:35:43.349205,14.0,10.0,58.1,1.0,1.0,36.0,814.0,3.0,5.3,153.0,66.0
Tevin Coleman,2979477,ATL,RB,2018,rushing,2026-07-03T11:35:43.349205,16.0,8.0,50.0,1.0,0.0,36.0,800.0,4.0,4.8,167.0,65.0
Aaron Jones Sr.,3042519,GB,RB,2018,rushing,2026-07-03T11:35:43.349205,12.0,4.0,60.7,1.0,1.0,41.0,728.0,8.0,5.5,133.0,67.0
Doug Martin,14885,OAK,RB,2018,rushing,2026-07-03T11:35:43.349205,16.0,2.0,45.2,3.0,3.0,37.0,723.0,4.0,4.2,172.0,29.0
Frank Gore,8479,MIA,RB,2018,rushing,2026-07-03T11:35:43.349205,14.0,5.0,51.6,1.0,0.0,25.0,722.0,0.0,4.6,156.0,39.0
