player_name,espn_id,team,position,season,category,fetched_at,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
Ben Roethlisberger,5536,PIT,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,452.0,675.0,67.0,5129.0,7.6,320.6,97.0,34.0,16.0,24.0,166.0,69.6,56.3
Patrick Mahomes,3139477,KC,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,383.0,580.0,66.0,5097.0,8.8,318.6,89.0,50.0,12.0,26.0,171.0,80.3,60.4
Matt Ryan,11237,ATL,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,422.0,608.0,69.4,4924.0,8.1,307.8,75.0,35.0,7.0,42.0,296.0,65.7,60.4
Jared Goff,3046779,LAR,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,364.0,561.0,64.9,4688.0,8.4,293.0,70.0,32.0,12.0,33.0,223.0,63.6,60.4
Andrew Luck,14874,IND,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,430.0,639.0,67.3,4593.0,7.2,287.1,68.0,39.0,15.0,18.0,134.0,69.6,56.3
Aaron Rodgers,8439,GB,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,372.0,597.0,62.3,4442.0,7.4,277.6,75.0,25.0,2.0,49.0,353.0,58.0,56.3
Tom Brady,2330,NE,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,375.0,570.0,65.8,4355.0,7.6,272.2,63.0,29.0,11.0,21.0,147.0,68.4,56.3
Philip Rivers,5529,LAC,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,347.0,508.0,68.3,4308.0,8.5,269.3,75.0,32.0,12.0,32.0,204.0,67.8,60.4
Eli Manning,5526,NYG,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,380.0,576.0,66.0,4299.0,7.5,268.7,58.0,21.0,11.0,47.0,358.0,49.1,56.3
Kirk Cousins,14880,MIN,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,425.0,606.0,70.1,4298.0,7.1,268.6,75.0,30.0,10.0,40.0,262.0,59.5,56.3
Deshaun Watson,3122840,HOU,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,345.0,505.0,68.3,4165.0,8.2,260.3,73.0,26.0,9.0,62.0,384.0,61.8,60.4
Derek Carr,16757,OAK,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,381.0,553.0,68.9,4049.0,7.3,253.1,66.0,19.0,10.0,51.0,299.0,46.5,56.3
Drew Brees,2580,NO,QB,2018,passing,2026-07-03T11:35:29.471610,15.0,364.0,489.0,74.4,3992.0,8.2,266.1,72.0,32.0,5.0,17.0,121.0,79.2,60.4
Case Keenum,15168,DEN,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,365.0,586.0,62.3,3890.0,6.6,243.1,64.0,18.0,15.0,34.0,235.0,44.5,52.1
Dak Prescott,2577417,DAL,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,356.0,526.0,67.7,3885.0,7.4,242.8,90.0,22.0,8.0,56.0,347.0,55.2,56.3
Matthew Stafford,12483,DET,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,367.0,555.0,66.1,3777.0,6.8,236.1,67.0,21.0,11.0,40.0,255.0,51.3,52.1
Baker Mayfield,3052587,CLE,QB,2018,passing,2026-07-03T11:35:29.471610,14.0,310.0,486.0,63.8,3725.0,7.7,266.1,71.0,27.0,14.0,25.0,173.0,51.2,56.3
Russell Wilson,14881,SEA,QB,2018,passing,2026-07-03T11:35:29.471610,16.0,280.0,427.0,65.6,3448.0,8.1,215.5,66.0,35.0,7.0,51.0,355.0,63.3,60.4
Cam Newton,13994,CAR,QB,2018,passing,2026-07-03T11:35:29.471610,14.0,320.0,471.0,67.9,3395.0,7.2,242.5,82.0,24.0,13.0,29.0,213.0,53.2,56.3
