player_name,espn_id,team,position,season,category,fetched_at,GP,SOLO,AST,TOT,TFL,PD,FF,FR,FTD,SACKS,INT_DEF,DEF_YDS,DEF_TD,DEF_LNG
Kyle Fuller,16715,CHI,CB,2018,defense_ints,2026-07-03T11:36:40.145099,16.0,45.0,10.0,55.0,0.0,21.0,0.0,0.0,0.0,0.0,7.0,52.0,0.0,35.0
Damontae Kazee,2976099,ATL,S,2018,defense_ints,2026-07-03T11:36:40.145099,16.0,60.0,22.0,82.0,1.0,10.0,1.0,0.0,0.0,0.0,7.0,54.0,0.0,33.0
Xavien Howard,2978935,MIA,CB,2018,defense_ints,2026-07-03T11:36:40.145099,12.0,25.0,10.0,35.0,1.0,12.0,0.0,1.0,0.0,0.0,7.0,52.0,0.0,39.0
Eddie Jackson,3054847,CHI,S,2018,defense_ints,2026-07-03T11:36:40.145099,14.0,41.0,10.0,51.0,3.0,15.0,2.0,1.0,1.0,1.0,6.0,81.0,2.0,41.0
Alec Ogletree,15806,NYG,LB,2018,defense_ints,2026-07-03T11:36:40.145099,13.0,58.0,35.0,93.0,8.0,8.0,0.0,0.0,0.0,1.0,5.0,61.0,2.0,20.0
Shawn Williams,15877,CIN,S,2018,defense_ints,2026-07-03T11:36:40.145099,16.0,81.0,29.0,110.0,2.0,9.0,1.0,0.0,0.0,1.0,5.0,131.0,1.0,58.0
Trumaine Johnson,14989,NYJ,CB,2018,defense_ints,2026-07-03T11:36:40.145099,10.0,35.0,5.0,40.0,1.0,5.0,1.0,1.0,0.0,0.0,4.0,38.0,1.0,31.0
Duron Harmon,15842,NE,S,2018,defense_ints,2026-07-03T11:36:40.145099,16.0,32.0,6.0,38.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
D.J. Swearinger,15865,WSH,S,2018,defense_ints,2026-07-03T11:36:40.145099,15.0,42.0,11.0,53.0,2.0,10.0,3.0,1.0,0.0,1.0,4.0,33.0,0.0,22.0
Jordan Poyer,15979,BUF,S,2018,defense_ints,2026-07-03T11:36:40.145099,16.0,73.0,27.0,100.0,8.0,6.0,1.0,1.0,0.0,2.0,4.0,11.0,0.0,11.0
Curtis Riley,2525492,NYG,S,2018,defense_ints,2026-07-03T11:36:40.145099,16.0,63.0,12.0,75.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,67.0,1.0,46.0
Kevin Byard,2574056,TEN,S,2018,defense_ints,2026-07-03T11:36:40.145099,16.0,62.0,28.0,90.0,3.0,8.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0
Andrew Adams,2576599,TB,S,2018,defense_ints,2026-07-03T11:36:40.145099,13.0,29.0,9.0,38.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,34.0,0.0,16.0
Damarious Randall,3043258,CLE,CB,2018,defense_ints,2026-07-03T11:36:40.145099,15.0,72.0,12.0,84.0,2.0,9.0,0.0,1.0,0.0,0.0,4.0,59.0,0.0,50.0
Steven Nelson,3045287,KC,CB,2018,defense_ints,2026-07-03T11:36:40.145099,16.0,58.0,10.0,68.0,2.0,15.0,0.0,0.0,0.0,0.0,4.0,53.0,0.0,35.0
John Johnson III,3046292,LAR,S,2018,defense_ints,2026-07-03T11:36:40.145099,16.0,82.0,37.0,119.0,4.0,11.0,1.0,0.0,0.0,0.0,4.0,46.0,0.0,35.0
Donte Jackson,3843769,CAR,CB,2018,defense_ints,2026-07-03T11:36:40.145099,16.0,63.0,10.0,73.0,5.0,9.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
Mike Adams,5893,CAR,S,2018,defense_ints,2026-07-03T11:36:40.145099,16.0,47.0,28.0,75.0,4.0,6.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,18.0
Earl Thomas III,13251,SEA,S,2018,defense_ints,2026-07-03T11:36:40.145099,4.0,16.0,6.0,22.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,25.0,0.0,25.0
Reshad Jones,13395,MIA,S,2018,defense_ints,2026-07-03T11:36:40.145099,14.0,57.0,15.0,72.0,6.0,9.0,0.0,0.0,0.0,0.0,3.0,109.0,1.0,54.0
Prince Amukamara,13975,CHI,CB,2018,defense_ints,2026-07-03T11:36:40.145099,15.0,57.0,9.0,66.0,3.0,12.0,2.0,0.0,0.0,0.0,3.0,58.0,1.0,49.0
Marcus Gilchrist,14018,OAK,S,2018,defense_ints,2026-07-03T11:36:40.145099,16.0,40.0,18.0,58.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0
Chris Harris Jr.,14398,DEN,CB,2018,defense_ints,2026-07-03T11:36:40.145099,12.0,40.0,9.0,49.0,1.0,10.0,0.0,0.0,0.0,1.0,3.0,68.0,1.0,53.0
Harrison Smith,14945,MIN,S,2018,defense_ints,2026-07-03T11:36:40.145099,16.0,67.0,17.0,84.0,9.0,6.0,1.0,2.0,0.0,3.0,3.0,66.0,0.0,52.0
Josh Norman,15124,WSH,CB,2018,defense_ints,2026-07-03T11:36:40.145099,16.0,40.0,24.0,64.0,2.0,9.0,3.0,1.0,0.0,0.0,3.0,79.0,0.0,40.0
Kiko Alonso,15819,MIA,LB,2018,defense_ints,2026-07-03T11:36:40.145099,15.0,79.0,46.0,125.0,3.0,6.0,3.0,1.0,0.0,0.0,3.0,30.0,0.0,15.0
T.J. McDonald,15852,MIA,S,2018,defense_ints,2026-07-03T11:36:40.145099,14.0,63.0,23.0,86.0,2.0,5.0,0.0,1.0,0.0,0.0,3.0,41.0,0.0,31.0
Darius Slay,15863,DET,CB,2018,defense_ints,2026-07-03T11:36:40.145099,15.0,40.0,3.0,43.0,1.0,16.0,0.0,0.0,0.0,0.0,3.0,107.0,1.0,67.0
