player_name,espn_id,team,position,season,category,fetched_at,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
Deshaun Watson,3122840,HOU,QB,2020,passing,2026-07-03T11:38:25.333771,16.0,382.0,544.0,70.2,4823.0,8.9,301.4,77.0,33.0,7.0,49.0,293.0,63.7,60.4
Patrick Mahomes,3139477,KC,QB,2020,passing,2026-07-03T11:38:25.333771,15.0,390.0,588.0,66.3,4740.0,8.1,316.0,75.0,38.0,6.0,22.0,147.0,78.1,108.2
Tom Brady,2330,TB,QB,2020,passing,2026-07-03T11:38:25.333771,16.0,401.0,610.0,65.7,4633.0,7.6,289.6,50.0,40.0,12.0,21.0,143.0,66.0,56.3
Matt Ryan,11237,ATL,QB,2020,passing,2026-07-03T11:38:25.333771,16.0,407.0,626.0,65.0,4581.0,7.3,286.3,63.0,26.0,11.0,41.0,257.0,59.8,56.3
Josh Allen,3918298,BUF,QB,2020,passing,2026-07-03T11:38:25.333771,16.0,396.0,572.0,69.2,4544.0,7.9,284.0,55.0,37.0,10.0,26.0,159.0,76.6,56.3
Justin Herbert,4038941,LAC,QB,2020,passing,2026-07-03T11:38:25.333771,15.0,396.0,595.0,66.6,4336.0,7.3,289.1,72.0,31.0,10.0,32.0,218.0,62.6,56.3
Aaron Rodgers,8439,GB,QB,2020,passing,2026-07-03T11:38:25.333771,16.0,372.0,526.0,70.7,4299.0,8.2,268.7,78.0,48.0,5.0,20.0,182.0,79.8,60.4
Kirk Cousins,14880,MIN,QB,2020,passing,2026-07-03T11:38:25.333771,16.0,349.0,516.0,67.6,4265.0,8.3,266.6,71.0,35.0,13.0,39.0,256.0,55.8,60.4
Russell Wilson,14881,SEA,QB,2020,passing,2026-07-03T11:38:25.333771,16.0,384.0,558.0,68.8,4212.0,7.5,263.3,62.0,40.0,13.0,47.0,301.0,67.1,56.3
Philip Rivers,5529,IND,QB,2020,passing,2026-07-03T11:38:25.333771,16.0,369.0,543.0,68.0,4169.0,7.7,260.6,55.0,24.0,11.0,19.0,118.0,55.0,56.3
Derek Carr,16757,LV,QB,2020,passing,2026-07-03T11:38:25.333771,16.0,348.0,517.0,67.3,4103.0,7.9,256.4,85.0,27.0,9.0,26.0,150.0,64.3,56.3
Matthew Stafford,12483,DET,QB,2020,passing,2026-07-03T11:38:25.333771,16.0,339.0,528.0,64.2,4084.0,7.7,255.3,73.0,26.0,10.0,38.0,254.0,61.3,56.3
Kyler Murray,3917315,ARI,QB,2020,passing,2026-07-03T11:38:25.333771,16.0,375.0,558.0,67.2,3971.0,7.1,248.2,80.0,26.0,12.0,27.0,176.0,61.9,56.3
Jared Goff,3046779,LAR,QB,2020,passing,2026-07-03T11:38:25.333771,15.0,370.0,552.0,67.0,3952.0,7.2,263.5,56.0,20.0,13.0,23.0,161.0,50.8,56.3
Ryan Tannehill,14876,TEN,QB,2020,passing,2026-07-03T11:38:25.333771,16.0,315.0,481.0,65.5,3819.0,7.9,238.7,75.0,33.0,7.0,24.0,173.0,72.6,56.3
Ben Roethlisberger,5536,PIT,QB,2020,passing,2026-07-03T11:38:25.333771,15.0,399.0,608.0,65.6,3803.0,6.3,253.5,84.0,33.0,10.0,13.0,118.0,52.5,52.1
Teddy Bridgewater,16728,CAR,QB,2020,passing,2026-07-03T11:38:25.333771,15.0,340.0,492.0,69.1,3733.0,7.6,248.9,75.0,15.0,11.0,31.0,205.0,56.8,56.3
Baker Mayfield,3052587,CLE,QB,2020,passing,2026-07-03T11:38:25.333771,16.0,305.0,486.0,62.8,3563.0,7.3,222.7,75.0,26.0,8.0,26.0,162.0,65.5,56.3
Daniel Jones,3917792,NYG,QB,2020,passing,2026-07-03T11:38:25.333771,14.0,280.0,448.0,62.5,2943.0,6.6,210.2,53.0,11.0,10.0,45.0,286.0,54.0,52.1
Drew Brees,2580,NO,QB,2020,passing,2026-07-03T11:38:25.333771,12.0,275.0,390.0,70.5,2942.0,7.5,245.2,52.0,24.0,6.0,13.0,89.0,68.3,56.3
Drew Lock,3924327,DEN,QB,2020,passing,2026-07-03T11:38:25.333771,13.0,254.0,443.0,57.3,2933.0,6.6,225.6,92.0,16.0,15.0,19.0,123.0,41.2,52.1
Lamar Jackson,3916387,BAL,QB,2020,passing,2026-07-03T11:38:25.333771,15.0,242.0,376.0,64.4,2757.0,7.3,183.8,47.0,26.0,9.0,29.0,160.0,67.3,56.3
Joe Burrow,3915511,CIN,QB,2020,passing,2026-07-03T11:38:25.333771,10.0,264.0,404.0,65.3,2688.0,6.7,268.8,67.0,13.0,5.0,32.0,231.0,48.5,52.1
