player_name,espn_id,team,position,season,category,fetched_at,GP,REC,TGTS,BIG,YDS/G,FUM,LST,YAC,FD,REC_YDS,REC_TD,REC_AVG,REC_LNG
Stefon Diggs,2976212,BUF,WR,2020,receiving,2026-07-03T11:38:53.188545,16.0,127.0,166.0,20.0,95.9,0.0,0.0,468.0,73.0,1535.0,8.0,12.1,55.0
Travis Kelce,15847,KC,TE,2020,receiving,2026-07-03T11:38:53.188545,15.0,105.0,145.0,23.0,94.4,1.0,1.0,597.0,79.0,1416.0,11.0,13.5,45.0
DeAndre Hopkins,15795,ARI,WR,2020,receiving,2026-07-03T11:38:53.188545,16.0,115.0,160.0,17.0,87.9,3.0,2.0,527.0,75.0,1407.0,6.0,12.2,60.0
Justin Jefferson,4262921,MIN,WR,2020,receiving,2026-07-03T11:38:53.188545,16.0,88.0,125.0,23.0,87.5,1.0,0.0,450.0,58.0,1400.0,7.0,15.9,71.0
Davante Adams,16800,GB,WR,2020,receiving,2026-07-03T11:38:53.188545,14.0,115.0,149.0,18.0,98.1,1.0,1.0,592.0,73.0,1374.0,18.0,11.9,56.0
Calvin Ridley,3925357,ATL,WR,2020,receiving,2026-07-03T11:38:53.188545,15.0,90.0,143.0,23.0,91.6,1.0,1.0,369.0,65.0,1374.0,9.0,15.3,63.0
DK Metcalf,4047650,SEA,WR,2020,receiving,2026-07-03T11:38:53.188545,16.0,83.0,129.0,17.0,81.4,1.0,1.0,384.0,63.0,1303.0,10.0,15.7,62.0
Tyreek Hill,3116406,KC,WR,2020,receiving,2026-07-03T11:38:53.188545,15.0,87.0,135.0,20.0,85.1,0.0,0.0,430.0,57.0,1276.0,15.0,14.7,75.0
Allen Robinson,16799,CHI,WR,2020,receiving,2026-07-03T11:38:53.188545,16.0,102.0,151.0,22.0,78.1,0.0,0.0,339.0,68.0,1250.0,6.0,12.3,42.0
Darren Waller,2576925,LV,TE,2020,receiving,2026-07-03T11:38:53.188545,16.0,107.0,145.0,16.0,74.8,2.0,2.0,583.0,69.0,1196.0,9.0,11.2,38.0
DJ Moore,3915416,CAR,WR,2020,receiving,2026-07-03T11:38:53.188545,15.0,66.0,118.0,19.0,79.5,0.0,0.0,390.0,53.0,1193.0,4.0,18.1,74.0
Brandin Cooks,16731,HOU,WR,2020,receiving,2026-07-03T11:38:53.188545,15.0,81.0,119.0,20.0,76.7,0.0,0.0,348.0,52.0,1150.0,6.0,14.2,57.0
Terry McLaurin,3121422,WSH,WR,2020,receiving,2026-07-03T11:38:53.188545,15.0,87.0,134.0,17.0,74.5,1.0,1.0,490.0,51.0,1118.0,4.0,12.9,68.0
Amari Cooper,2976499,DAL,WR,2020,receiving,2026-07-03T11:38:53.188545,16.0,92.0,130.0,13.0,69.6,0.0,0.0,408.0,54.0,1114.0,5.0,12.1,69.0
Robbie Chosen,2574808,CAR,WR,2020,receiving,2026-07-03T11:38:53.188545,16.0,95.0,136.0,16.0,68.5,1.0,1.0,514.0,49.0,1096.0,3.0,11.5,75.0
A.J. Brown,4047646,TEN,WR,2020,receiving,2026-07-03T11:38:53.188545,14.0,70.0,106.0,13.0,76.8,2.0,1.0,422.0,55.0,1075.0,11.0,15.4,73.0
Tyler Lockett,2577327,SEA,WR,2020,receiving,2026-07-03T11:38:53.188545,16.0,100.0,132.0,10.0,65.9,1.0,0.0,339.0,57.0,1054.0,10.0,10.5,47.0
Mike Evans,16737,TB,WR,2020,receiving,2026-07-03T11:38:53.188545,16.0,70.0,109.0,20.0,62.9,0.0,0.0,266.0,55.0,1006.0,13.0,14.4,50.0
Keenan Allen,15818,LAC,WR,2020,receiving,2026-07-03T11:38:53.188545,14.0,100.0,147.0,10.0,70.9,3.0,2.0,448.0,61.0,992.0,8.0,9.9,28.0
Corey Davis,3042778,TEN,WR,2020,receiving,2026-07-03T11:38:53.188545,14.0,65.0,92.0,14.0,70.3,1.0,1.0,279.0,49.0,984.0,5.0,15.1,75.0
Marvin Jones Jr.,15072,DET,WR,2020,receiving,2026-07-03T11:38:53.188545,16.0,76.0,115.0,19.0,61.1,0.0,0.0,203.0,52.0,978.0,9.0,12.9,43.0
Cooper Kupp,2977187,LAR,WR,2020,receiving,2026-07-03T11:38:53.188545,15.0,92.0,124.0,12.0,64.9,0.0,0.0,529.0,45.0,974.0,3.0,10.6,55.0
Cole Beasley,15349,BUF,WR,2020,receiving,2026-07-03T11:38:53.188545,15.0,82.0,107.0,15.0,64.5,0.0,0.0,354.0,53.0,967.0,4.0,11.8,35.0
Robert Woods,15880,LAR,WR,2020,receiving,2026-07-03T11:38:53.188545,16.0,90.0,129.0,11.0,58.5,1.0,0.0,504.0,46.0,936.0,6.0,10.4,56.0
