year,round,pick,team,player_name,position,college,age,career_av,draft_av,games_played
2021,1,1,JAX,Trevor Lawrence,QB,Clemson,,,,
2021,1,2,NYJ,Zach Wilson,QB,BYU,,,,
2021,1,3,SF,Trey Lance,QB,North Dakota State,,,,
2021,1,4,ATL,Kyle Pitts,TE,Florida,,,,
2021,1,5,CIN,Ja'Marr Chase,WR,LSU,,,,
2021,1,6,MIA,Jaylen Waddle,WR,Alabama,,,,
2021,1,7,DET,Penei Sewell,OT,Oregon,,,,
2021,1,8,CAR,Jaycee Horn,CB,South Carolina,,,,
2021,1,9,DEN,Pat Surtain II,CB,Alabama,,,,
2021,1,10,PHI,DeVonta Smith,WR,Alabama,,,,
2021,1,11,CHI,Justin Fields,QB,Ohio State,,,,
2021,1,12,DAL,Micah Parsons,ILB,Penn State,,,,
2021,1,13,LAC,Rashawn Slater,OT,Northwestern,,,,
2021,1,14,NYJ,Alijah Vera-Tucker,OG,USC,,,,
2021,1,15,NE,Mac Jones,QB,Alabama,,,,
2021,1,16,ARI,Zaven Collins,OLB,Tulsa,,,,
2021,1,17,LV,Alex Leatherwood,OT,Alabama,,,,
2021,1,18,MIA,Jaelan Phillips,DE,Miami,,,,
2021,1,19,WSH,Jamin Davis,ILB,Kentucky,,,,
2021,1,20,NYG,Kadarius Toney,WR,Florida,,,,
2021,1,21,IND,Kwity Paye,DE,Michigan,,,,
2021,1,22,TEN,Caleb Farley,CB,Virginia Tech,,,,
2021,1,23,MIN,Christian Darrisaw,OT,Virginia Tech,,,,
2021,1,24,PIT,Najee Harris,RB,Alabama,,,,
2021,1,25,JAX,Travis Etienne,RB,Clemson,,,,
2021,1,26,CLE,Greg Newsome II,CB,Northwestern,,,,
2021,1,27,BAL,Rashod Bateman,WR,Minnesota,,,,
2021,1,28,NO,Payton Turner,DE,Houston,,,,
2021,1,29,GB,Eric Stokes,CB,Georgia,,,,
2021,1,30,BUF,Gregory Rousseau,DE,Miami,,,,
2021,1,31,BAL,Odafe Oweh,OLB,Penn State,,,,
2021,1,32,TB,Joe Tryon,OLB,Washington,,,,
2021,2,33,JAX,Tyson Campbell,CB,Georgia,,,,
2021,2,34,NYJ,Elijah Moore,WR,Ole Miss,,,,
2021,2,35,DEN,Javonte Williams,RB,North Carolina,,,,
2021,2,36,MIA,Jevon Holland,S,Oregon,,,,
2021,2,37,PHI,Landon Dickerson,C,Alabama,,,,
2021,2,38,NE,Christian Barmore,DT,Alabama,,,,
2021,2,39,CHI,Teven Jenkins,OT,Oklahoma State,,,,
2021,2,40,ATL,Richie Grant,S,UCF,,,,
2021,2,41,DET,Levi Onwuzurike,DT,Washington,,,,
2021,2,42,MIA,Liam Eichenberg,OT,Notre Dame,,,,
2021,2,43,LV,Trevon Moehrig,S,TCU,,,,
2021,2,44,DAL,Kelvin Joseph,CB,Kentucky,,,,
2021,2,45,JAX,Walker Little,OT,Stanford,,,,
2021,2,46,CIN,Jackson Carman,OT,Clemson,,,,
2021,2,47,LAC,Asante Samuel Jr.,CB,Florida State,,,,
2021,2,48,SF,Aaron Banks,OG,Notre Dame,,,,
2021,2,49,ARI,Rondale Moore,WR,Purdue,,,,
2021,2,50,NYG,Azeez Ojulari,OLB,Georgia,,,,
2021,2,51,WSH,Samuel Cosmi,OT,Texas,,,,
2021,2,52,CLE,Jeremiah Owusu-Koramoah,ILB,Notre Dame,,,,
2021,2,53,TEN,Dillon Radunz,OT,North Dakota State,,,,
2021,2,54,IND,Dayo Odeyingbo,DE,Vanderbilt,,,,
2021,2,55,PIT,Pat Freiermuth,TE,Penn State,,,,
2021,2,56,SEA,D'Wayne Eskridge,WR,Western Michigan,,,,
2021,2,57,LAR,Tutu Atwell,WR,Louisville,,,,
2021,2,58,KC,Nick Bolton,ILB,Missouri,,,,
2021,2,59,CAR,Terrace Marshall Jr.,WR,LSU,,,,
2021,2,60,NO,Pete Werner,ILB,Ohio State,,,,
2021,2,61,BUF,Carlos Basham Jr.,DE,Wake Forest,,,,
2021,2,62,GB,Josh Myers,C,Ohio State,,,,
2021,2,63,KC,Creed Humphrey,C,Oklahoma,,,,
2021,2,64,TB,Kyle Trask,QB,Florida,,,,
2021,3,65,JAX,Andre Cisco,S,Syracuse,,,,
2021,3,66,MIN,Kellen Mond,QB,Texas A&M,,,,
2021,3,67,HOU,Davis Mills,QB,Stanford,,,,
2021,3,68,ATL,Jalen Mayfield,OT,Michigan,,,,
