year,round,pick,team,player_name,position,college,age,career_av,draft_av,games_played
2016,1,1,LAR,Jared Goff,QB,California,,,,
2016,1,2,PHI,Carson Wentz,QB,North Dakota State,,,,
2016,1,3,,Joey Bosa,DE,Ohio State,,,,
2016,1,4,DAL,Ezekiel Elliott,RB,Ohio State,,,,
2016,1,5,JAX,Jalen Ramsey,CB,Florida State,,,,
2016,1,6,BAL,Ronnie Stanley,OT,Notre Dame,,,,
2016,1,7,SF,DeForest Buckner,DE,Oregon,,,,
2016,1,8,TEN,Jack Conklin,OT,Michigan State,,,,
2016,1,9,CHI,Leonard Floyd,OLB,Georgia,,,,
2016,1,10,NYG,Eli Apple,CB,Ohio State,,,,
2016,1,11,TB,Vernon Hargreaves III,CB,Florida,,,,
2016,1,12,NO,Sheldon Rankins,DT,Louisville,,,,
2016,1,13,MIA,Laremy Tunsil,OT,Ole Miss,,,,
2016,1,14,,Karl Joseph,S,West Virginia,,,,
2016,1,15,CLE,Corey Coleman,WR,Baylor,,,,
2016,1,16,DET,Taylor Decker,OT,Ohio State,,,,
2016,1,17,ATL,Keanu Neal,S,Florida,,,,
2016,1,18,IND,Ryan Kelly,C,Alabama,,,,
2016,1,19,BUF,Shaq Lawson,DE,Clemson,,,,
2016,1,20,NYJ,Darron Lee,OLB,Ohio State,,,,
2016,1,21,HOU,Will Fuller,WR,Notre Dame,,,,
2016,1,22,,Josh Doctson,WR,TCU,,,,
2016,1,23,MIN,Laquon Treadwell,WR,Ole Miss,,,,
2016,1,24,CIN,William Jackson III,CB,Houston,,,,
2016,1,25,PIT,Artie Burns,CB,Miami,,,,
2016,1,26,DEN,Paxton Lynch,QB,Memphis,,,,
2016,1,27,GB,Kenny Clark,DT,UCLA,,,,
2016,1,28,SF,Joshua Garnett,OG,Stanford,,,,
2016,1,29,ARI,Robert Nkemdiche,DT,Ole Miss,,,,
2016,1,30,CAR,Vernon Butler,DT,Louisiana Tech,,,,
2016,1,31,SEA,Germain Ifedi,OT,Texas A&M,,,,
2016,2,32,CLE,Emmanuel Ogbah,DE,Oklahoma State,,,,
2016,2,33,TEN,Kevin Dodd,DE,Clemson,,,,
2016,2,34,DAL,Jaylon Smith,OLB,Notre Dame,,,,
2016,2,35,,Hunter Henry,TE,Arkansas,,,,
2016,2,36,JAX,Myles Jack,OLB,UCLA,,,,
2016,2,37,KC,Chris Jones,DT,Mississippi State,,,,
2016,2,38,MIA,Xavien Howard,CB,Baylor,,,,
2016,2,39,TB,Noah Spence,OLB,Eastern Kentucky,,,,
2016,2,40,NYG,Sterling Shepard,WR,Oklahoma,,,,
2016,2,41,BUF,Reggie Ragland,ILB,Alabama,,,,
2016,2,42,BAL,Kamalei Correa,OLB,Boise State,,,,
2016,2,43,TEN,Austin Johnson,DT,Penn State,,,,
2016,2,44,,Jihad Ward,DE,Illinois,,,,
2016,2,45,TEN,Derrick Henry,RB,Alabama,,,,
2016,2,46,DET,A'Shawn Robinson,DT,Alabama,,,,
2016,2,47,NO,Michael Thomas,WR,Ohio State,,,,
2016,2,48,GB,Jason Spriggs,OT,Indiana,,,,
2016,2,49,SEA,Jarran Reed,DT,Alabama,,,,
2016,2,50,HOU,Nick Martin,C,Notre Dame,,,,
2016,2,51,NYJ,Christian Hackenberg,QB,Penn State,,,,
2016,2,52,ATL,Deion Jones,OLB,LSU,,,,
2016,2,53,,Su'a Cravens,S,USC,,,,
2016,2,54,MIN,Mackensie Alexander,CB,Clemson,,,,
2016,2,55,CIN,Tyler Boyd,WR,Pittsburgh,,,,
2016,2,56,CHI,Cody Whitehair,OG,Kansas State,,,,
2016,2,57,IND,T.J. Green,S,Clemson,,,,
2016,2,58,PIT,Sean Davis,S,Maryland,,,,
2016,2,59,TB,Roberto Aguayo,PK,Florida State,,,,
2016,2,60,NE,Cyrus Jones,CB,Alabama,,,,
2016,2,61,NO,Vonn Bell,S,Ohio State,,,,
2016,2,62,CAR,James Bradberry,CB,Samford,,,,
2016,2,63,DEN,Adam Gotsis,DE,Georgia Tech,,,,
2016,3,64,TEN,Kevin Byard,S,Middle Tennessee,,,,
2016,3,65,CLE,Carl Nassib,DE,Penn State,,,,
2016,3,66,,Max Tuerk,C,USC,,,,
2016,3,67,DAL,Maliek Collins,DT,Nebraska,,,,
2016,3,68,SF,Will Redmond,CB,Mississippi State,,,,
2016,3,69,JAX,Yannick Ngakoue,DE,Maryland,,,,
2016,3,70,BAL,Bronson Kaufusi,DE,BYU,,,,
2016,3,71,NYG,Darian Thompson,S,Boise State,,,,
2016,3,72,CHI,Jonathan Bullard,DE,Florida,,,,
2016,3,73,MIA,Kenyan Drake,RB,Alabama,,,,
2016,3,74,KC,Keivarae Russell,CB,Notre Dame,,,,
2016,3,75,,Shilique Calhoun,DE,Michigan State,,,,
2016,3,76,CLE,Shon Coleman,OT,Auburn,,,,
2016,3,77,CAR,Daryl Worley,CB,West Virginia,,,,
2016,3,78,NE,Joe Thuney,OG,NC State,,,,
2016,3,79,PHI,Isaac Seumalo,C,Oregon State,,,,
2016,3,80,BUF,Adolphus Washington,DT,Ohio State,,,,
2016,3,81,ATL,Austin Hooper,TE,Stanford,,,,
2016,3,82,IND,Le'Raven Clark,OT,Texas Tech,,,,
2016,3,83,NYJ,Jordan Jenkins,OLB,Georgia,,,,
2016,3,84,,Kendall Fuller,CB,Virginia Tech,,,,
2016,3,85,HOU,Braxton Miller,WR,Ohio State,,,,
2016,3,86,MIA,Leonte Carroo,WR,Rutgers,,,,
2016,3,87,CIN,Nick Vigil,ILB,Utah State,,,,
2016,3,88,GB,Kyler Fackrell,OLB,Utah State,,,,
2016,3,89,PIT,Javon Hargrave,DT,South Carolina State,,,,
2016,3,90,SEA,C.J. Prosise,RB,Notre Dame,,,,
2016,3,91,NE,Jacoby Brissett,QB,NC State,,,,
2016,3,92,ARI,Brandon Williams,CB,Texas A&M,,,,
2016,3,93,CLE,Cody Kessler,QB,USC,,,,
2016,3,94,SEA,Nick Vannett,TE,Ohio State,,,,
2016,3,95,DET,Graham Glasgow,C,Michigan,,,,
2016,3,96,NE,Vincent Valentine,DT,Nebraska,,,,
2016,3,97,SEA,Rees Odhiambo,OG,Boise State,,,,
2016,3,98,DEN,Justin Simmons,S,Boston College,,,,
2016,4,99,CLE,Joe Schobert,OLB,Wisconsin,,,,
2016,4,100,,Connor Cook,QB,Michigan State,,,,
2016,4,101,DAL,Charles Tapper,DE,Oklahoma,,,,
2016,4,102,,Joshua Perry,ILB,Ohio State,,,,
2016,4,103,JAX,Sheldon Day,DT,Notre Dame,,,,
2016,4,104,BAL,Tavon Young,CB,Temple,,,,
2016,4,105,KC,Parker Ehinger,OG,Cincinnati,,,,
2016,4,106,KC,Eric Murray,CB,Minnesota,,,,
2016,4,107,BAL,Chris Moore,WR,Cincinnati,,,,
2016,4,108,TB,Ryan Smith,CB,North Carolina Central,,,,
2016,4,109,NYG,B.J. Goodson,ILB,Clemson,,,,
2016,4,110,LAR,Tyler Higbee,TE,Western Kentucky,,,,
2016,4,111,DET,Miles Killebrew,S,Southern Utah,,,,
2016,4,112,NE,Malcolm Mitchell,WR,Georgia,,,,
2016,4,113,CHI,Nick Kwiatkoski,ILB,West Virginia,,,,
2016,4,114,CLE,Ricardo Louis,WR,Auburn,,,,
2016,4,115,ATL,De'Vondre Campbell,OLB,Minnesota,,,,
2016,4,116,IND,Hassan Ridgeway,DT,Texas,,,,
2016,4,117,LAR,Pharoh Cooper,WR,South Carolina,,,,
2016,4,118,NYJ,Juston Burris,CB,NC State,,,,
2016,4,119,HOU,Tyler Ervin,RB,San Jose State,,,,
2016,4,120,NO,David Onyemata,DT,Manitoba,,,,
2016,4,121,MIN,Willie Beavers,OG,Western Michigan,,,,
2016,4,122,CIN,Andrew Billings,DT,Baylor,,,,
2016,4,123,PIT,Jerald Hawkins,OT,LSU,,,,
2016,4,124,CHI,Deon Bush,S,Miami,,,,
2016,4,125,IND,Antonio Morrison,OLB,Florida,,,,
2016,4,126,KC,Demarcus Robinson,WR,Florida,,,,
2016,4,127,CHI,Deiondre' Hall,CB,Northern Iowa,,,,
2016,4,128,ARI,Evan Boehm,OG,Missouri,,,,
2016,4,129,CLE,Derrick Kindred,S,TCU,,,,
2016,4,130,BAL,Alex Lewis,OT,Nebraska,,,,
2016,4,131,GB,Blake Martinez,ILB,Stanford,,,,
2016,4,132,BAL,Willie Henry,DT,Michigan,,,,
2016,4,133,SF,Rashard Robinson,CB,LSU,,,,
2016,4,134,BAL,Kenneth Dixon,RB,Louisiana Tech,,,,
2016,4,135,DAL,Dak Prescott,QB,Mississippi State,,,,
2016,4,136,DEN,Devontae Booker,RB,Utah,,,,
2016,4,137,GB,Dean Lowry,DE,Northwestern,,,,
2016,4,138,CLE,Seth Devalve,WR,Princeton,,,,
2016,4,139,BUF,Cardale Jones,QB,Ohio State,,,,
2016,5,140,TEN,Tajae Sharpe,WR,Massachusetts,,,,
2016,5,141,CAR,Zack Sanchez,CB,Oklahoma,,,,
2016,5,142,SF,Ronald Blair,DT,Appalachian State,,,,
2016,5,143,,Deandre Washington,RB,Texas Tech,,,,
2016,5,144,DEN,Connor Mcgovern,OG,Missouri,,,,
2016,5,145,SF,John Theus,OT,Georgia,,,,
2016,5,146,BAL,Matt Judon,DE,Grand Valley State,,,,
2016,5,147,SEA,Quinton Jefferson,DT,Maryland,,,,
2016,5,148,TB,Caleb Benenoch,OT,UCLA,,,,
2016,5,149,NYG,Paul Perkins,RB,UCLA,,,,
2016,5,150,CHI,Jordan Howard,RB,Indiana,,,,
2016,5,151,DET,Joe Dahl,OG,Washington State,,,,
2016,5,152,,Matt Ioannidis,DT,Temple,,,,
2016,5,153,PHI,Wendell Smallwood,RB,West Virginia,,,,
2016,5,154,CLE,Jordan Payton,WR,UCLA,,,,
2016,5,155,IND,Joe Haeg,OT,North Dakota State,,,,
2016,5,156,BUF,Jonathan Williams,RB,Arkansas,,,,
2016,5,157,TEN,Leshaun Sims,CB,Southern Utah,,,,
2016,5,158,NYJ,Brandon Shell,OT,South Carolina,,,,
2016,5,159,HOU,KJ Dillon,S,West Virginia,,,,
2016,5,160,MIN,Kentrell Brothers,ILB,Missouri,,,,
2016,5,161,CIN,Christian Westerman,OG,Arizona State,,,,
2016,5,162,KC,Kevin Hogan,QB,Stanford,,,,
