year,round,pick,team,player_name,position,college,age,career_av,draft_av,games_played
2024,1,1,CHI,Caleb Williams,QB,USC,,,,
2024,1,2,WSH,Jayden Daniels,QB,LSU,,,,
2024,1,3,NE,Drake Maye,QB,North Carolina,,,,
2024,1,4,ARI,Marvin Harrison Jr.,WR,Ohio State,,,,
2024,1,5,LAC,Joe Alt,OT,Notre Dame,,,,
2024,1,6,NYG,Malik Nabers,WR,LSU,,,,
2024,1,7,TEN,JC Latham,OT,Alabama,,,,
2024,1,8,ATL,Michael Penix Jr.,QB,Washington,,,,
2024,1,9,CHI,Rome Odunze,WR,Washington,,,,
2024,1,10,MIN,J.J. McCarthy,QB,Michigan,,,,
2024,1,11,NYJ,Olu Fashanu,OT,Penn State,,,,
2024,1,12,DEN,Bo Nix,QB,Oregon,,,,
2024,1,13,LV,Brock Bowers,TE,Georgia,,,,
2024,1,14,NO,Taliese Fuaga,OT,Oregon State,,,,
2024,1,15,IND,Laiatu Latu,EDGE,UCLA,,,,
2024,1,16,SEA,Byron Murphy II,DT,Texas,,,,
2024,1,17,MIN,Dallas Turner,EDGE,Alabama,,,,
2024,1,18,CIN,Amarius Mims,OT,Georgia,,,,
2024,1,19,LAR,Jared Verse,EDGE,Florida State,,,,
2024,1,20,PIT,Troy Fautanu,OG,Washington,,,,
2024,1,21,MIA,Chop Robinson,EDGE,Penn State,,,,
2024,1,22,PHI,Quinyon Mitchell,CB,Toledo,,,,
2024,1,23,JAX,Brian Thomas Jr.,WR,LSU,,,,
2024,1,24,DET,Terrion Arnold,CB,Alabama,,,,
2024,1,25,GB,Jordan Morgan,OT,Arizona,,,,
2024,1,26,TB,Graham Barton,C,Duke,,,,
2024,1,27,ARI,Darius Robinson,EDGE,Missouri,,,,
2024,1,28,KC,Xavier Worthy,WR,Texas,,,,
2024,1,29,DAL,Tyler Guyton,OT,Oklahoma,,,,
2024,1,30,BAL,Nate Wiggins,CB,Clemson,,,,
2024,1,31,SF,Ricky Pearsall,WR,Florida,,,,
2024,1,32,CAR,Xavier Legette,WR,South Carolina,,,,
2024,2,33,BUF,Keon Coleman,WR,Florida State,,,,
2024,2,34,LAC,Ladd McConkey,WR,Georgia,,,,
2024,2,35,ATL,Ruke Orhorhoro,DT,Clemson,,,,
2024,2,36,WSH,Jer'Zhan Newton,DT,Illinois,,,,
2024,2,37,NE,Ja'Lynn Polk,WR,Washington,,,,
2024,2,38,TEN,T'Vondre Sweat,DT,Texas,,,,
2024,2,39,LAR,Braden Fiske,DT,Florida State,,,,
2024,2,40,PHI,Cooper DeJean,CB,Iowa,,,,
2024,2,41,NO,Kool-Aid McKinstry,CB,Alabama,,,,
2024,2,42,HOU,Kamari Lassiter,CB,Georgia,,,,
2024,2,43,ARI,Max Melton,CB,Rutgers,,,,
