year,round,pick,team,player_name,position,college,age,career_av,draft_av,games_played
2014,1,1,HOU,Jadeveon Clowney,DE,South Carolina,,,,
2014,1,2,,Greg Robinson,OT,Auburn,,,,
2014,1,3,JAX,Blake Bortles,QB,UCF,,,,
2014,1,4,BUF,Sammy Watkins,WR,Clemson,,,,
2014,1,5,,Khalil Mack,OLB,Buffalo,,,,
2014,1,6,ATL,Jake Matthews,OT,Texas A&M,,,,
2014,1,7,TB,Mike Evans,WR,Texas A&M,,,,
2014,1,8,CLE,Justin Gilbert,CB,Oklahoma State,,,,
2014,1,9,MIN,Anthony Barr,OLB,UCLA,,,,
2014,1,10,DET,Eric Ebron,TE,North Carolina,,,,
2014,1,11,TEN,Taylor Lewan,OT,Michigan,,,,
2014,1,12,NYG,Odell Beckham Jr.,WR,LSU,,,,
2014,1,13,,Aaron Donald,DT,Pittsburgh,,,,
2014,1,14,CHI,Kyle Fuller,CB,Virginia Tech,,,,
2014,1,15,PIT,Ryan Shazier,OLB,Ohio State,,,,
2014,1,16,DAL,Zack Martin,OT,Notre Dame,,,,
2014,1,17,BAL,C.J. Mosley,ILB,Alabama,,,,
2014,1,18,NYJ,Calvin Pryor,S,Louisville,,,,
2014,1,19,MIA,Ja'Wuan James,OT,Tennessee,,,,
2014,1,20,NO,Brandin Cooks,WR,Oregon State,,,,
2014,1,21,GB,Ha Ha Clinton-Dix,S,Alabama,,,,
2014,1,22,CLE,Johnny Manziel,QB,Texas A&M,,,,
2014,1,23,KC,Dee Ford,DE,Auburn,,,,
2014,1,24,CIN,Darqueze Dennard,CB,Michigan State,,,,
2014,1,25,,Jason Verrett,CB,TCU,,,,
2014,1,26,PHI,Marcus Smith,DE,Louisville,,,,
2014,1,27,ARI,Deone Bucannon,S,Washington State,,,,
2014,1,28,CAR,Kelvin Benjamin,WR,Florida State,,,,
2014,1,29,NE,Dominique Easley,DT,Florida,,,,
2014,1,30,SF,Jimmie Ward,S,Northern Illinois,,,,
2014,1,31,DEN,Bradley Roby,CB,Ohio State,,,,
2014,1,32,MIN,Teddy Bridgewater,QB,Louisville,,,,
2014,2,33,HOU,Xavier Su'a-Filo,OG,UCLA,,,,
2014,2,34,DAL,Demarcus Lawrence,OLB,Boise State,,,,
2014,2,35,CLE,Joel Bitonio,OT,Nevada,,,,
2014,2,36,,Derek Carr,QB,Fresno State,,,,
2014,2,37,ATL,Ra'Shede Hageman,DT,Minnesota,,,,
2014,2,38,TB,Austin Seferian-Jenkins,TE,Washington,,,,
2014,2,39,JAX,Marqise Lee,WR,USC,,,,
2014,2,40,DET,Kyle Van Noy,OLB,BYU,,,,
2014,2,41,,Lamarcus Joyner,CB,Florida State,,,,
2014,2,42,PHI,Jordan Matthews,WR,Vanderbilt,,,,
2014,2,43,NYG,Weston Richburg,,Colorado State,,,,
2014,2,44,BUF,Cyrus Kouandjio,OT,Alabama,,,,
2014,2,45,SEA,Paul Richardson,WR,Colorado,,,,
2014,2,46,PIT,Stephon Tuitt,DE,Notre Dame,,,,
2014,2,47,,Trent Murphy,OLB,Stanford,,,,
2014,2,48,BAL,Timmy Jernigan,DT,Florida State,,,,
2014,2,49,NYJ,Jace Amaro,TE,Texas Tech,,,,
2014,2,50,,Jeremiah Attaochu,OLB,Georgia Tech,,,,
2014,2,51,CHI,Ego Ferguson,DT,LSU,,,,
2014,2,52,ARI,Troy Niklas,TE,Notre Dame,,,,
2014,2,53,GB,Davante Adams,WR,Fresno State,,,,
2014,2,54,TEN,Bishop Sankey,RB,Washington,,,,
2014,2,55,CIN,Jeremy Hill,RB,LSU,,,,
2014,2,56,DEN,Cody Latimer,WR,Indiana,,,,
2014,2,57,SF,Carlos Hyde,RB,Ohio State,,,,
2014,2,58,NO,Stan Jean-Baptiste,CB,Nebraska,,,,
2014,2,59,IND,Jack Mewhort,OT,Ohio State,,,,
2014,2,60,CAR,Kony Ealy,DE,Missouri,,,,
2014,2,61,JAX,Allen Robinson,WR,Penn State,,,,
2014,2,62,NE,Jimmy Garoppolo,QB,Eastern Illinois,,,,
2014,2,63,MIA,Jarvis Landry,WR,LSU,,,,
2014,2,64,SEA,Justin Britt,OT,Missouri,,,,
2014,3,65,HOU,C.J. Fiedorowicz,TE,Iowa,,,,
2014,3,66,,Morgan Moses,OT,Virginia,,,,
2014,3,67,MIA,Billy Turner,OT,North Dakota State,,,,
2014,3,68,ATL,Dez Southward,S,Wisconsin,,,,
2014,3,69,TB,Charles Sims,RB,West Virginia,,,,
2014,3,70,SF,Marcus Martin,,USC,,,,
2014,3,71,CLE,Chris Kirksey,OLB,Iowa,,,,
2014,3,72,MIN,Scott Crichton,DE,Oregon State,,,,
2014,3,73,BUF,Preston Brown,ILB,Louisville,,,,
2014,3,74,NYG,Jay Bromley,DT,Syracuse,,,,
2014,3,75,,Tre Mason,RB,Auburn,,,,
2014,3,76,DET,Travis Swanson,,Arkansas,,,,
2014,3,77,SF,Chris Borland,ILB,Wisconsin,,,,
2014,3,78,,Spencer Long,OG,Nebraska,,,,
2014,3,79,BAL,Terrence Brooks,S,Florida State,,,,
2014,3,80,NYJ,Dex McDougle,CB,Maryland,,,,
2014,3,81,,Gabe Jackson,OG,Mississippi State,,,,
2014,3,82,CHI,Will Sutton,DT,Arizona State,,,,
2014,3,83,HOU,Louis Nix III,DT,Notre Dame,,,,
2014,3,84,ARI,Kareem Martin,DE,North Carolina,,,,
2014,3,85,GB,Khyri Thornton,DT,Southern Mississippi,,,,
2014,3,86,PHI,Josh Huff,WR,Oregon,,,,
2014,3,87,KC,Phillip Gaines,CB,Rice,,,,
2014,3,88,CIN,William Clarke,DE,West Virginia,,,,
2014,3,89,,Chris Watt,OG,Notre Dame,,,,
2014,3,90,IND,Donte Moncrief,WR,Ole Miss,,,,
2014,3,91,ARI,John Brown,WR,Pittsburg State,,,,
2014,3,92,CAR,Trai Turner,OG,LSU,,,,
2014,3,93,JAX,Brandon Linder,OG,Miami,,,,
2014,3,94,CLE,Terrance West,RB,Towson,,,,
2014,3,95,DEN,Michael Schofield,OT,Michigan,,,,
2014,3,96,MIN,Jerick McKinnon,RB,Georgia Southern,,,,
2014,3,97,PIT,Dri Archer,RB,Kent State,,,,
2014,3,98,GB,Richard Rodgers,TE,California,,,,
2014,3,99,BAL,Crockett Gillmore,TE,Colorado State,,,,
2014,3,100,SF,Brandon Thomas,OG,Clemson,,,,
2014,4,101,PHI,Jaylen Watkins,CB,Florida,,,,
2014,4,102,,Bashaud Breeland,CB,Clemson,,,,
2014,4,103,ATL,Devonta Freeman,RB,Florida State,,,,
2014,4,104,NYJ,Jalen Saunders,WR,Oklahoma,,,,
2014,4,105,NE,Bryan Stork,,Florida State,,,,
2014,4,106,SF,Bruce Ellington,WR,South Carolina,,,,
2014,4,107,,Justin Ellis,DT,Louisiana Tech,,,,
2014,4,108,SEA,Cassius Marsh,DE,UCLA,,,,
2014,4,109,BUF,Ross Cockrell,CB,Duke,,,,
2014,4,110,,Maurice Alexander,S,Utah State,,,,
2014,4,111,CIN,Russell Bodine,,North Carolina,,,,
2014,4,112,TEN,DaQuan Jones,DT,Penn State,,,,
2014,4,113,NYG,Andre Williams,RB,Boston College,,,,
2014,4,114,JAX,Aaron Colvin,CB,Oklahoma,,,,
2014,4,115,NYJ,Shaq Evans,WR,UCLA,,,,
2014,4,116,,Keith McGill,CB,Utah,,,,
2014,4,117,CHI,Ka'Deem Carey,RB,Arizona,,,,
2014,4,118,PIT,Martavis Bryant,WR,Clemson,,,,
2014,4,119,DAL,Anthony Hitchens,OLB,Iowa,,,,
2014,4,120,ARI,Logan Thomas,QB,Virginia Tech,,,,
2014,4,121,GB,Carl Bradford,OLB,Arizona State,,,,
2014,4,122,TEN,Marqueston Huff,CB,Wyoming,,,,
2014,4,123,SEA,Kevin Norwood,WR,Alabama,,,,
2014,4,124,KC,De'Anthony Thomas,RB,Oregon,,,,
2014,4,125,MIA,Walt Aikens,CB,Liberty,,,,
2014,4,126,NO,Khairi Fortt,OLB,California,,,,
2014,4,127,CLE,Pierre Desir,CB,Lindenwood,,,,
2014,4,128,CAR,Tre Boston,S,North Carolina,,,,
2014,4,129,SF,Dontae Johnson,CB,NC State,,,,
2014,4,130,NE,James White,RB,Wisconsin,,,,
2014,4,131,CHI,Brock Vereen,S,Minnesota,,,,
2014,4,132,SEA,Kevin Pierre-Louis,OLB,Boston College,,,,
2014,4,133,DET,Nevin Lawson,CB,Utah State,,,,
