player_name,espn_id,team,position,season,category,fetched_at,GP,BIG,YDS/G,FUM,LST,FD,RUSH_YDS,RUSH_TD,RUSH_AVG,CAR,RUSH_LNG
Christian McCaffrey,3117251,SF,RB,2023,rushing,2026-07-03T11:42:41.275040,16.0,9.0,91.2,2.0,2.0,83.0,1459.0,14.0,5.4,272.0,72.0
Derrick Henry,3043078,TEN,RB,2023,rushing,2026-07-03T11:42:41.275040,17.0,5.0,68.6,0.0,0.0,63.0,1167.0,12.0,4.2,280.0,69.0
Kyren Williams,4430737,LAR,RB,2023,rushing,2026-07-03T11:42:41.275040,12.0,7.0,95.3,2.0,1.0,62.0,1144.0,12.0,5.0,228.0,56.0
James Cook III,4379399,BUF,RB,2023,rushing,2026-07-03T11:42:41.275040,17.0,6.0,66.0,3.0,1.0,53.0,1122.0,2.0,4.7,237.0,42.0
D'Andre Swift,4259545,PHI,RB,2023,rushing,2026-07-03T11:42:41.275040,16.0,6.0,65.6,2.0,0.0,50.0,1049.0,5.0,4.6,229.0,43.0
James Conner,3045147,ARI,RB,2023,rushing,2026-07-03T11:42:41.275040,13.0,11.0,80.0,0.0,0.0,57.0,1040.0,7.0,5.0,208.0,44.0
Najee Harris,4241457,PIT,RB,2023,rushing,2026-07-03T11:42:41.275040,17.0,8.0,60.9,2.0,1.0,51.0,1035.0,8.0,4.1,255.0,25.0
Joe Mixon,3116385,CIN,RB,2023,rushing,2026-07-03T11:42:41.275040,17.0,3.0,60.8,0.0,0.0,59.0,1034.0,9.0,4.0,257.0,44.0
David Montgomery,4035538,DET,RB,2023,rushing,2026-07-03T11:42:41.275040,14.0,4.0,72.5,2.0,1.0,59.0,1015.0,13.0,4.6,219.0,75.0
Raheem Mostert,2576414,MIA,RB,2023,rushing,2026-07-03T11:42:41.275040,15.0,7.0,67.5,2.0,1.0,59.0,1012.0,18.0,4.8,209.0,49.0
Travis Etienne Jr.,4239996,JAX,RB,2023,rushing,2026-07-03T11:42:41.275040,17.0,6.0,59.3,0.0,0.0,53.0,1008.0,11.0,3.8,267.0,62.0
