player_name,espn_id,team,position,season,category,fetched_at,GP,REC,TGTS,BIG,YDS/G,FUM,LST,YAC,FD,REC_YDS,REC_TD,REC_AVG,REC_LNG
Tyreek Hill,3116406,MIA,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,119.0,171.0,29.0,112.4,1.0,1.0,652.0,83.0,1799.0,13.0,15.1,78.0
CeeDee Lamb,4241389,DAL,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,135.0,181.0,29.0,102.9,3.0,2.0,680.0,80.0,1749.0,12.0,13.0,92.0
Amon-Ra St. Brown,4374302,DET,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,119.0,164.0,24.0,94.7,1.0,1.0,668.0,75.0,1515.0,10.0,12.7,70.0
Puka Nacua,4426515,LAR,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,105.0,160.0,25.0,87.4,1.0,0.0,640.0,68.0,1486.0,6.0,14.2,80.0
A.J. Brown,4047646,PHI,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,106.0,158.0,21.0,85.6,2.0,2.0,473.0,70.0,1456.0,7.0,13.7,59.0
DJ Moore,3915416,CHI,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,96.0,136.0,25.0,80.2,1.0,1.0,539.0,64.0,1364.0,8.0,14.2,58.0
Brandon Aiyuk,4360438,SF,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,75.0,105.0,28.0,83.9,1.0,1.0,382.0,61.0,1342.0,7.0,17.9,76.0
Nico Collins,4258173,HOU,WR,2023,receiving,2026-07-03T11:42:55.025253,15.0,80.0,109.0,25.0,86.5,1.0,0.0,549.0,53.0,1297.0,8.0,16.2,75.0
Mike Evans,16737,TB,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,79.0,136.0,20.0,73.8,0.0,0.0,322.0,54.0,1255.0,13.0,15.9,75.0
Amari Cooper,2976499,CLE,WR,2023,receiving,2026-07-03T11:42:55.025253,15.0,72.0,128.0,21.0,83.3,2.0,1.0,271.0,50.0,1250.0,5.0,17.4,75.0
Keenan Allen,15818,LAC,WR,2023,receiving,2026-07-03T11:42:55.025253,13.0,108.0,150.0,19.0,95.6,2.0,1.0,396.0,56.0,1243.0,7.0,11.5,42.0
Ja'Marr Chase,4362628,CIN,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,100.0,145.0,14.0,76.0,1.0,0.0,541.0,63.0,1216.0,7.0,12.2,76.0
Stefon Diggs,2976212,BUF,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,107.0,160.0,10.0,69.6,2.0,1.0,399.0,58.0,1183.0,8.0,11.1,55.0
Michael Pittman Jr.,4035687,IND,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,109.0,156.0,10.0,72.0,1.0,0.0,513.0,53.0,1152.0,4.0,10.6,75.0
Davante Adams,16800,LV,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,103.0,175.0,13.0,67.3,0.0,0.0,336.0,59.0,1144.0,8.0,11.1,46.0
George Pickens,4426354,PIT,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,63.0,106.0,22.0,67.1,3.0,0.0,388.0,42.0,1140.0,5.0,18.1,86.0
Chris Olave,4361370,NO,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,87.0,138.0,16.0,70.2,0.0,0.0,347.0,57.0,1123.0,5.0,12.9,51.0
DK Metcalf,4047650,SEA,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,66.0,119.0,19.0,69.6,0.0,0.0,367.0,52.0,1114.0,8.0,16.9,73.0
Justin Jefferson,4262921,MIN,WR,2023,receiving,2026-07-03T11:42:55.025253,10.0,68.0,100.0,25.0,107.4,1.0,1.0,260.0,51.0,1074.0,5.0,15.8,52.0
DeVonta Smith,4241478,PHI,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,81.0,112.0,14.0,66.6,1.0,1.0,294.0,47.0,1066.0,7.0,13.2,63.0
DeAndre Hopkins,15795,TEN,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,75.0,137.0,15.0,62.2,0.0,0.0,223.0,48.0,1057.0,7.0,14.1,61.0
Garrett Wilson,4569618,NYJ,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,95.0,168.0,11.0,61.3,2.0,2.0,327.0,47.0,1042.0,3.0,11.0,68.0
Chris Godwin Jr.,3116165,TB,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,83.0,130.0,14.0,60.2,0.0,0.0,385.0,53.0,1024.0,2.0,12.3,47.0
George Kittle,3040151,SF,TE,2023,receiving,2026-07-03T11:42:55.025253,16.0,65.0,90.0,18.0,63.8,0.0,0.0,483.0,42.0,1020.0,6.0,15.7,66.0
Calvin Ridley,3925357,JAX,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,76.0,136.0,17.0,59.8,1.0,0.0,194.0,49.0,1016.0,8.0,13.4,59.0
Adam Thielen,16460,CAR,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,103.0,137.0,9.0,59.6,2.0,0.0,345.0,56.0,1014.0,4.0,9.8,32.0
Jaylen Waddle,4372016,MIA,WR,2023,receiving,2026-07-03T11:42:55.025253,14.0,72.0,104.0,12.0,72.4,0.0,0.0,421.0,47.0,1014.0,4.0,14.1,60.0
Terry McLaurin,3121422,WSH,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,79.0,132.0,15.0,58.9,0.0,0.0,350.0,47.0,1002.0,4.0,12.7,48.0
Travis Kelce,15847,KC,TE,2023,receiving,2026-07-03T11:42:55.025253,15.0,93.0,121.0,12.0,65.6,1.0,1.0,469.0,50.0,984.0,5.0,10.6,53.0
Evan Engram,3051876,JAX,TE,2023,receiving,2026-07-03T11:42:55.025253,17.0,114.0,143.0,9.0,56.6,3.0,2.0,516.0,47.0,963.0,4.0,8.4,34.0
T.J. Hockenson,4036133,MIN,TE,2023,receiving,2026-07-03T11:42:55.025253,15.0,95.0,127.0,13.0,64.0,1.0,1.0,336.0,48.0,960.0,5.0,10.1,29.0
Rashee Rice,4428331,KC,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,79.0,102.0,10.0,58.6,2.0,1.0,654.0,44.0,938.0,7.0,11.9,67.0
Jordan Addison,4429205,MIN,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,70.0,108.0,15.0,53.6,0.0,0.0,262.0,38.0,911.0,10.0,13.0,62.0
Drake London,4426502,ATL,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,69.0,110.0,17.0,56.6,0.0,0.0,188.0,45.0,905.0,2.0,13.1,45.0
Tyler Lockett,2577327,SEA,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,79.0,122.0,9.0,52.6,0.0,0.0,209.0,47.0,894.0,5.0,11.3,37.0
Deebo Samuel,3126486,SF,WR,2023,receiving,2026-07-03T11:42:55.025253,15.0,60.0,89.0,15.0,59.5,1.0,0.0,527.0,34.0,892.0,7.0,14.9,54.0
Sam LaPorta,4430027,DET,TE,2023,receiving,2026-07-03T11:42:55.025253,17.0,86.0,120.0,8.0,52.3,0.0,0.0,358.0,48.0,889.0,10.0,10.3,48.0
David Njoku,3123076,CLE,TE,2023,receiving,2026-07-03T11:42:55.025253,16.0,81.0,123.0,12.0,55.1,2.0,2.0,599.0,35.0,882.0,6.0,10.9,43.0
Zay Flowers,4429615,BAL,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,77.0,108.0,12.0,53.6,0.0,0.0,391.0,41.0,858.0,5.0,11.1,75.0
Trey McBride,4361307,ARI,TE,2023,receiving,2026-07-03T11:42:55.025253,17.0,81.0,106.0,9.0,48.5,1.0,0.0,439.0,42.0,825.0,3.0,10.2,38.0
Jakobi Meyers,3916433,LV,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,71.0,106.0,8.0,50.4,0.0,0.0,242.0,46.0,807.0,8.0,11.4,33.0
Jayden Reed,4362249,GB,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,64.0,94.0,13.0,49.6,0.0,0.0,335.0,32.0,793.0,8.0,12.4,59.0
Christian Kirk,3895856,JAX,WR,2023,receiving,2026-07-03T11:42:55.025253,12.0,57.0,85.0,13.0,65.6,2.0,2.0,247.0,34.0,787.0,3.0,13.8,57.0
Courtland Sutton,3128429,DEN,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,59.0,90.0,14.0,48.3,3.0,3.0,156.0,37.0,772.0,10.0,13.1,46.0
Josh Downs,4688813,IND,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,68.0,98.0,10.0,45.4,0.0,0.0,371.0,30.0,771.0,2.0,11.3,59.0
Darius Slayton,3916945,NYG,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,50.0,79.0,11.0,45.3,0.0,0.0,298.0,29.0,770.0,4.0,15.4,80.0
Jake Ferguson,4242355,DAL,TE,2023,receiving,2026-07-03T11:42:55.025253,17.0,71.0,102.0,8.0,44.8,0.0,0.0,425.0,40.0,761.0,5.0,10.7,40.0
Jerry Jeudy,4241463,DEN,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,54.0,87.0,10.0,47.4,1.0,0.0,323.0,28.0,758.0,2.0,14.0,47.0
Gabe Davis,4243537,BUF,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,45.0,81.0,12.0,43.9,1.0,1.0,180.0,34.0,746.0,7.0,16.6,57.0
Cooper Kupp,2977187,LAR,WR,2023,receiving,2026-07-03T11:42:55.025253,12.0,59.0,95.0,10.0,61.4,0.0,0.0,322.0,33.0,737.0,5.0,12.5,62.0
Rashid Shaheed,4032473,NO,WR,2023,receiving,2026-07-03T11:42:55.025253,15.0,46.0,75.0,12.0,47.9,0.0,0.0,151.0,27.0,719.0,5.0,15.6,58.0
Cole Kmet,4258595,CHI,TE,2023,receiving,2026-07-03T11:42:55.025253,17.0,73.0,90.0,9.0,42.3,1.0,0.0,290.0,36.0,719.0,6.0,9.8,53.0
Diontae Johnson,3932905,PIT,WR,2023,receiving,2026-07-03T11:42:55.025253,14.0,51.0,87.0,10.0,51.2,1.0,0.0,261.0,37.0,717.0,5.0,14.1,71.0
Tank Dell,4366031,HOU,WR,2023,receiving,2026-07-03T11:42:55.025253,11.0,47.0,75.0,10.0,64.5,0.0,0.0,152.0,34.0,709.0,7.0,15.1,68.0
Romeo Doubs,4361432,GB,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,59.0,96.0,7.0,39.6,1.0,0.0,134.0,41.0,674.0,8.0,11.4,36.0
Dalton Kincaid,4385690,BUF,TE,2023,receiving,2026-07-03T11:42:55.025253,16.0,73.0,91.0,5.0,42.1,1.0,1.0,311.0,29.0,673.0,2.0,9.2,51.0
Tyler Boyd,3045144,CIN,WR,2023,receiving,2026-07-03T11:42:55.025253,17.0,67.0,98.0,6.0,39.2,0.0,0.0,279.0,28.0,667.0,2.0,10.0,64.0
Kyle Pitts Sr.,4360248,ATL,TE,2023,receiving,2026-07-03T11:42:55.025253,17.0,53.0,90.0,7.0,39.2,0.0,0.0,134.0,35.0,667.0,3.0,12.6,39.0
Brandin Cooks,16731,DAL,WR,2023,receiving,2026-07-03T11:42:55.025253,16.0,54.0,81.0,11.0,41.1,1.0,0.0,125.0,38.0,657.0,8.0,12.2,37.0
Tee Higgins,4239993,CIN,WR,2023,receiving,2026-07-03T11:42:55.025253,12.0,42.0,76.0,8.0,54.7,0.0,0.0,235.0,33.0,656.0,5.0,15.6,80.0
