player_name,espn_id,team,position,season,category,fetched_at,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
Tua Tagovailoa,4241479,MIA,QB,2023,passing,2026-07-03T11:42:27.608341,17.0,388.0,560.0,69.3,4624.0,8.3,272.0,78.0,29.0,14.0,29.0,171.0,61.5,101.1
Jared Goff,3046779,DET,QB,2023,passing,2026-07-03T11:42:27.608341,17.0,407.0,605.0,67.3,4575.0,7.6,269.1,70.0,30.0,12.0,30.0,197.0,61.1,97.9
Dak Prescott,2577417,DAL,QB,2023,passing,2026-07-03T11:42:27.608341,17.0,410.0,590.0,69.5,4516.0,7.7,265.6,92.0,36.0,9.0,39.0,255.0,73.4,105.9
Josh Allen,3918298,BUF,QB,2023,passing,2026-07-03T11:42:27.608341,17.0,385.0,579.0,66.5,4306.0,7.4,253.3,81.0,29.0,18.0,24.0,152.0,70.3,92.2
Brock Purdy,4361741,SF,QB,2023,passing,2026-07-03T11:42:27.608341,16.0,308.0,444.0,69.4,4280.0,9.6,267.5,76.0,31.0,11.0,28.0,153.0,73.4,113.0
Patrick Mahomes,3139477,KC,QB,2023,passing,2026-07-03T11:42:27.608341,16.0,401.0,597.0,67.2,4183.0,7.0,261.4,67.0,27.0,14.0,27.0,186.0,63.9,92.6
Jordan Love,4036378,GB,QB,2023,passing,2026-07-03T11:42:27.608341,17.0,372.0,579.0,64.2,4159.0,7.2,244.6,77.0,32.0,11.0,30.0,242.0,62.9,96.1
C.J. Stroud,4432577,HOU,QB,2023,passing,2026-07-03T11:42:27.608341,15.0,319.0,499.0,63.9,4108.0,8.2,273.9,75.0,23.0,5.0,38.0,331.0,58.3,100.8
Baker Mayfield,3052587,TB,QB,2023,passing,2026-07-03T11:42:27.608341,17.0,364.0,566.0,64.3,4044.0,7.1,237.9,75.0,28.0,10.0,40.0,232.0,55.1,94.6
Trevor Lawrence,4360310,JAX,QB,2023,passing,2026-07-03T11:42:27.608341,16.0,370.0,564.0,65.6,4016.0,7.1,251.0,65.0,21.0,14.0,35.0,224.0,56.9,88.5
Matthew Stafford,12483,LAR,QB,2023,passing,2026-07-03T11:42:27.608341,15.0,326.0,521.0,62.6,3965.0,7.6,264.3,80.0,24.0,11.0,30.0,205.0,64.2,92.5
Sam Howell,4426875,WSH,QB,2023,passing,2026-07-03T11:42:27.608341,17.0,388.0,612.0,63.4,3946.0,6.4,232.1,51.0,21.0,21.0,65.0,449.0,43.2,78.9
Derek Carr,16757,NO,QB,2023,passing,2026-07-03T11:42:27.608341,17.0,375.0,548.0,68.4,3878.0,7.1,228.1,58.0,25.0,8.0,31.0,218.0,57.3,97.7
Jalen Hurts,4040715,PHI,QB,2023,passing,2026-07-03T11:42:27.608341,17.0,352.0,538.0,65.4,3858.0,7.2,226.9,63.0,23.0,15.0,36.0,222.0,60.9,89.1
Lamar Jackson,3916387,BAL,QB,2023,passing,2026-07-03T11:42:27.608341,16.0,307.0,457.0,67.2,3678.0,8.0,229.9,80.0,24.0,7.0,37.0,218.0,65.4,102.7
Geno Smith,15864,SEA,QB,2023,passing,2026-07-03T11:42:27.608341,15.0,323.0,499.0,64.7,3624.0,7.3,241.6,73.0,20.0,9.0,31.0,231.0,60.3,92.1
Gardner Minshew II,4038524,IND,QB,2023,passing,2026-07-03T11:42:27.608341,17.0,305.0,490.0,62.2,3305.0,6.7,194.4,75.0,15.0,9.0,34.0,187.0,60.4,84.6
Justin Herbert,4038941,LAC,QB,2023,passing,2026-07-03T11:42:27.608341,13.0,297.0,456.0,65.1,3134.0,6.9,241.1,60.0,20.0,7.0,29.0,233.0,64.8,93.2
Russell Wilson,14881,DEN,QB,2023,passing,2026-07-03T11:42:27.608341,15.0,297.0,447.0,66.4,3070.0,6.9,204.7,60.0,26.0,8.0,45.0,258.0,51.5,98.0
Bryce Young,4685720,CAR,QB,2023,passing,2026-07-03T11:42:27.608341,16.0,315.0,527.0,59.8,2877.0,5.5,179.8,48.0,11.0,10.0,62.0,477.0,34.1,73.7
Desmond Ridder,4239086,ATL,QB,2023,passing,2026-07-03T11:42:27.608341,15.0,249.0,388.0,64.2,2836.0,7.3,189.1,71.0,12.0,12.0,31.0,197.0,40.8,83.4
Justin Fields,4362887,CHI,QB,2023,passing,2026-07-03T11:42:27.608341,13.0,227.0,370.0,61.4,2562.0,6.9,197.1,58.0,16.0,9.0,44.0,285.0,46.9,86.3
Joshua Dobbs,3044720,ARI/MIN,QB,2023,passing,2026-07-03T11:42:27.608341,13.0,262.0,417.0,62.8,2464.0,5.9,189.5,69.0,13.0,10.0,30.0,217.0,52.7,79.5
Kirk Cousins,14880,MIN,QB,2023,passing,2026-07-03T11:42:27.608341,8.0,216.0,311.0,69.5,2331.0,7.5,291.4,62.0,18.0,5.0,17.0,110.0,64.0,103.8
Joe Burrow,3915511,CIN,QB,2023,passing,2026-07-03T11:42:27.608341,10.0,244.0,365.0,66.8,2309.0,6.3,230.9,64.0,15.0,6.0,24.0,180.0,52.4,91.0
Zach Wilson,4361259,NYJ,QB,2023,passing,2026-07-03T11:42:27.608341,12.0,221.0,368.0,60.1,2271.0,6.2,189.3,68.0,8.0,7.0,46.0,340.0,31.3,77.2
Aidan O'Connell,4260394,LV,QB,2023,passing,2026-07-03T11:42:27.608341,11.0,213.0,343.0,62.1,2218.0,6.5,201.6,50.0,12.0,7.0,24.0,173.0,41.3,83.9
Mac Jones,4241464,NE,QB,2023,passing,2026-07-03T11:42:27.608341,11.0,224.0,345.0,64.9,2120.0,6.1,192.7,58.0,10.0,12.0,22.0,127.0,37.5,77.0
Kenny Pickett,4240703,PIT,QB,2023,passing,2026-07-03T11:42:27.608341,12.0,201.0,324.0,62.0,2070.0,6.4,172.5,72.0,6.0,4.0,23.0,173.0,38.9,81.4
Jake Browning,3886812,CIN,QB,2023,passing,2026-07-03T11:42:27.608341,9.0,171.0,243.0,70.4,1936.0,8.0,215.1,80.0,12.0,7.0,24.0,169.0,60.8,98.4
Will Levis,4361418,TEN,QB,2023,passing,2026-07-03T11:42:27.608341,9.0,149.0,255.0,58.4,1808.0,7.1,200.9,61.0,8.0,4.0,28.0,185.0,34.0,84.2
Kyler Murray,3917315,ARI,QB,2023,passing,2026-07-03T11:42:27.608341,8.0,176.0,268.0,65.7,1799.0,6.7,224.9,48.0,10.0,5.0,18.0,119.0,48.0,89.4
Joe Flacco,11252,CLE,QB,2023,passing,2026-07-03T11:42:27.608341,5.0,123.0,204.0,60.3,1616.0,7.9,323.2,75.0,13.0,8.0,8.0,57.0,49.1,90.2
Ryan Tannehill,14876,TEN,QB,2023,passing,2026-07-03T11:42:27.608341,10.0,149.0,230.0,64.8,1616.0,7.0,161.6,70.0,4.0,7.0,32.0,230.0,35.8,78.5
Tyrod Taylor,14163,NYG,QB,2023,passing,2026-07-03T11:42:27.608341,11.0,116.0,180.0,64.4,1341.0,7.4,121.9,80.0,5.0,3.0,17.0,94.0,48.6,89.1
Nick Mullens,3059989,MIN,QB,2023,passing,2026-07-03T11:42:27.608341,5.0,100.0,148.0,67.6,1306.0,8.8,261.2,47.0,7.0,8.0,12.0,105.0,50.6,88.4
Bailey Zappe,4250360,NE,QB,2023,passing,2026-07-03T11:42:27.608341,10.0,127.0,212.0,59.9,1272.0,6.0,127.2,48.0,6.0,9.0,25.0,191.0,23.9,68.8
Jimmy Garoppolo,16760,LV,QB,2023,passing,2026-07-03T11:42:27.608341,7.0,110.0,169.0,65.1,1205.0,7.1,172.1,32.0,7.0,9.0,14.0,101.0,34.7,77.7
Easton Stick,3120590,LAC,QB,2023,passing,2026-07-03T11:42:27.608341,5.0,111.0,174.0,63.8,1129.0,6.5,225.8,79.0,3.0,1.0,14.0,122.0,51.8,85.6
Deshaun Watson,3122840,CLE,QB,2023,passing,2026-07-03T11:42:27.608341,6.0,105.0,171.0,61.4,1115.0,6.5,185.8,59.0,7.0,4.0,17.0,85.0,43.7,84.3
Tommy DeVito,4240391,NYG,QB,2023,passing,2026-07-03T11:42:27.608341,9.0,114.0,178.0,64.0,1101.0,6.2,122.3,41.0,8.0,3.0,37.0,196.0,24.3,89.2
Daniel Jones,3917792,NYG,QB,2023,passing,2026-07-03T11:42:27.608341,6.0,108.0,160.0,67.5,909.0,5.7,151.5,58.0,2.0,6.0,30.0,167.0,37.1,70.5
Taylor Heinicke,2565969,ATL,QB,2023,passing,2026-07-03T11:42:27.608341,5.0,74.0,136.0,54.4,890.0,6.5,178.0,75.0,5.0,4.0,8.0,47.0,48.5,74.7
Tyson Bagent,4434153,CHI,QB,2023,passing,2026-07-03T11:42:27.608341,5.0,94.0,143.0,65.7,859.0,6.0,171.8,41.0,3.0,6.0,5.0,35.0,52.6,71.4
Trevor Siemian,2511109,NYJ,QB,2023,passing,2026-07-03T11:42:27.608341,5.0,86.0,153.0,56.2,724.0,4.7,144.8,30.0,2.0,4.0,8.0,40.0,14.8,62.1
Mason Rudolph,3116407,PIT,QB,2023,passing,2026-07-03T11:42:27.608341,4.0,55.0,74.0,74.3,719.0,9.7,179.8,86.0,3.0,0.0,6.0,43.0,71.3,118.0
PJ Walker,3051308,CLE,QB,2023,passing,2026-07-03T11:42:27.608341,6.0,54.0,111.0,48.6,674.0,6.1,112.3,58.0,1.0,5.0,11.0,90.0,19.1,52.2
Mitchell Trubisky,3039707,PIT,QB,2023,passing,2026-07-03T11:42:27.608341,5.0,67.0,107.0,62.6,632.0,5.9,126.4,26.0,4.0,5.0,7.0,42.0,35.3,71.9
Anthony Richardson Sr.,4429084,IND,QB,2023,passing,2026-07-03T11:42:27.608341,4.0,50.0,84.0,59.5,577.0,6.9,144.3,39.0,3.0,1.0,7.0,29.0,45.8,87.3
Drew Lock,3924327,SEA,QB,2023,passing,2026-07-03T11:42:27.608341,4.0,48.0,76.0,63.2,543.0,7.1,135.8,51.0,3.0,3.0,6.0,26.0,44.9,81.2
Jarrett Stidham,3892775,DEN,QB,2023,passing,2026-07-03T11:42:27.608341,3.0,40.0,66.0,60.6,496.0,7.5,165.3,54.0,2.0,1.0,7.0,46.0,31.8,87.7
Dorian Thompson-Robinson,4367178,CLE,QB,2023,passing,2026-07-03T11:42:27.608341,8.0,60.0,112.0,53.6,440.0,3.9,55.0,23.0,1.0,4.0,6.0,60.0,35.1,51.2
Andy Dalton,14012,CAR,QB,2023,passing,2026-07-03T11:42:27.608341,3.0,34.0,58.0,58.6,361.0,6.2,120.3,47.0,2.0,0.0,3.0,27.0,49.2,88.4
Tim Boyle,3045169,NYJ,QB,2023,passing,2026-07-03T11:42:27.608341,3.0,48.0,77.0,62.3,360.0,4.7,120.0,36.0,1.0,4.0,9.0,64.0,11.2,56.2
C.J. Beathard,2979520,JAX,QB,2023,passing,2026-07-03T11:42:27.608341,7.0,40.0,53.0,75.5,349.0,6.6,49.9,48.0,1.0,0.0,6.0,27.0,56.0,98.7
Sam Darnold,3912547,SF,QB,2023,passing,2026-07-03T11:42:27.608341,10.0,28.0,46.0,60.9,297.0,6.5,29.7,48.0,2.0,1.0,6.0,40.0,50.1,85.1
Case Keenum,15168,HOU,QB,2023,passing,2026-07-03T11:42:27.608341,2.0,34.0,53.0,64.2,291.0,5.5,145.5,41.0,1.0,3.0,6.0,60.0,21.7,61.1
Jameis Winston,2969939,NO,QB,2023,passing,2026-07-03T11:42:27.608341,7.0,25.0,47.0,53.2,264.0,5.6,37.7,30.0,2.0,3.0,2.0,13.0,36.4,57.4
Brian Hoyer,12477,LV,QB,2023,passing,2026-07-03T11:42:27.608341,3.0,23.0,42.0,54.8,231.0,5.5,77.0,48.0,0.0,2.0,1.0,8.0,69.6,50.8
Jacoby Brissett,2578570,WSH,QB,2023,passing,2026-07-03T11:42:27.608341,3.0,18.0,23.0,78.3,224.0,9.7,74.7,48.0,3.0,0.0,0.0,0.0,95.7,146.8
Tyler Huntley,4035671,BAL,QB,2023,passing,2026-07-03T11:42:27.608341,5.0,21.0,37.0,56.8,203.0,5.5,40.6,27.0,3.0,0.0,4.0,28.0,57.5,99.3
Blaine Gabbert,13987,KC,QB,2023,passing,2026-07-03T11:42:27.608341,2.0,18.0,35.0,51.4,185.0,5.3,92.5,37.0,0.0,3.0,1.0,9.0,48.0,31.3
Davis Mills,4242546,HOU,QB,2023,passing,2026-07-03T11:42:27.608341,6.0,18.0,39.0,46.2,173.0,4.4,28.8,19.0,2.0,0.0,2.0,13.0,49.5,76.1
Brett Rypien,3722362,LAR,QB,2023,passing,2026-07-03T11:42:27.608341,2.0,18.0,38.0,47.4,172.0,4.5,86.0,34.0,0.0,1.0,2.0,18.0,20.4,49.5
Jaren Hall,4373632,MIN,QB,2023,passing,2026-07-03T11:42:27.608341,3.0,13.0,20.0,65.0,168.0,8.4,56.0,47.0,0.0,1.0,4.0,28.0,5.3,70.4
Jeff Driskel,2574630,CLE,QB,2023,passing,2026-07-03T11:42:27.608341,1.0,13.0,26.0,50.0,166.0,6.4,166.0,31.0,2.0,2.0,3.0,26.0,4.2,63.9
Marcus Mariota,2576980,PHI,QB,2023,passing,2026-07-03T11:42:27.608341,3.0,15.0,23.0,65.2,164.0,7.1,54.7,22.0,1.0,1.0,3.0,11.0,60.7,82.5
