player_name,team,position,signed_year,years,total_value,guaranteed,aav,cap_pct
Takkarist McKinley,ATL/CIN/SF/LV,EDGE,2017,4,10.216792,9.013592,2.554198,1.5
Kyle Van Noy,Ravens,EDGE,2025,1,4.25,0.0,4.25,1.5
Za'Darius Smith,Eagles,EDGE,2025,1,4.25,4.25,4.25,1.5
Jeremiah Attaochu,Bears,EDGE,2021,2,5.55,2.825,2.775,1.5
Tarell Basham,Cowboys,EDGE,2021,2,5.5,3.75,2.75,1.5
Jerry Hughes,BUF/IND,EDGE,2010,5,9.705,6.5975,1.941,1.5
Anthony Spencer,Cowboys,EDGE,2014,1,2.0,0.25,2.0,1.5
James Pearce Jr.,Falcons,EDGE,2025,4,16.778874,16.778874,4.194719,1.5
Taco Charlton,Cowboys,EDGE,2017,4,10.028638,8.654097,2.50716,1.5
Alex Okafor,Chiefs,EDGE,2020,1,2.96,2.0,2.96,1.5
Jared Verse,LAR/CLE,EDGE,2024,4,15.134346,15.134346,3.783587,1.5
Clelin Ferrell,Commanders,EDGE,2024,1,3.75,3.05,3.75,1.5
Marcus Smith,Eagles,EDGE,2014,4,7.799102,6.315587,1.949776,1.5
Chop Robinson,Dolphins,EDGE,2024,4,14.976228,14.976228,3.744057,1.5
Joey Porter,Cardinals,EDGE,2011,1,1.75,0.0,1.75,1.5
Adrian Clayborn,Browns,EDGE,2020,2,5.75,2.75,2.875,1.5
Dante Fowler Jr.,Cowboys,EDGE,2022,1,3.0,1.0,3.0,1.4
Carlos Dunlap,Chiefs,EDGE,2022,1,3.0,3.0,3.0,1.4
L.J. Collier,Seahawks,EDGE,2019,4,10.836078,9.849755,2.70902,1.4
Bud Dupree,Chargers,EDGE,2025,1,4.005,2.495,4.005,1.4
George Karlaftis,Chiefs,EDGE,2022,4,11.935476,11.935476,2.983869,1.4
Derek Barnett,Texans,EDGE,2025,1,4.0,1.5,4.0,1.4
Charles Omenihu,Chiefs,EDGE,2025,1,4.0,3.45,4.0,1.4
Arnold Ebiketie,Eagles,EDGE,2026,1,4.3,4.3,4.3,1.4
Mario Haggan,Broncos,EDGE,2009,2,3.5,1.12,1.75,1.4
Keldric Faulk,Titans,EDGE,2026,4,17.054202,17.054202,4.263551,1.4
Robert Ayers,Giants,EDGE,2014,2,3.75,1.73,1.875,1.4
Myles Murphy,Bengals,EDGE,2023,4,12.587256,12.587256,3.146814,1.4
Jeremy Mincey,Cowboys,EDGE,2015,1,2.0,0.2,2.0,1.4
T.J. Watt,Steelers,EDGE,2017,4,9.25881,7.933745,2.314703,1.4
Markus Golden,Cardinals,EDGE,2021,2,5.0,2.5,2.5,1.4
Stephen Weatherly,Vikings,EDGE,2021,1,2.5,0.5,2.5,1.4
Jihad Ward,Jaguars,EDGE,2021,1,2.5,2.45,2.5,1.4
Ryan Kerrigan,Eagles,EDGE,2021,1,2.5,2.5,2.5,1.4
Ifeadi Odenigbo,Giants,EDGE,2021,1,2.5,1.0,2.5,1.4
Mathias Kiwanuka,Giants,EDGE,2006,5,6.976,4.725,1.3952,1.4
Mark Anderson,CHI/HOU,EDGE,2010,1,1.759,0.0,1.759,1.4
Akeem Ayers,Colts,EDGE,2016,2,4.2,0.5,2.1,1.4
James Harrison,Steelers,EDGE,2006,4,5.5,1.375,1.375,1.3
Chris Long,Eagles,EDGE,2017,2,4.5,0.5,2.25,1.3
