player_name,espn_id,team,position,season,category,fetched_at,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
Tom Brady,2330,TB,QB,2021,passing,2026-07-03T11:39:45.144098,17.0,485.0,719.0,67.5,5316.0,7.4,312.7,62.0,43.0,12.0,22.0,144.0,73.1,102.1
Justin Herbert,4038941,LAC,QB,2021,passing,2026-07-03T11:39:45.144098,17.0,443.0,672.0,65.9,5014.0,7.5,294.9,72.0,38.0,15.0,31.0,214.0,70.9,97.7
Matthew Stafford,12483,LAR,QB,2021,passing,2026-07-03T11:39:45.144098,17.0,404.0,601.0,67.2,4886.0,8.1,287.4,79.0,41.0,17.0,30.0,243.0,69.2,102.9
Patrick Mahomes,3139477,KC,QB,2021,passing,2026-07-03T11:39:45.144098,17.0,436.0,658.0,66.3,4839.0,7.4,284.6,75.0,37.0,13.0,28.0,146.0,67.7,98.5
Derek Carr,16757,LV,QB,2021,passing,2026-07-03T11:39:45.144098,17.0,428.0,626.0,68.4,4804.0,7.7,282.6,61.0,23.0,14.0,40.0,241.0,58.4,94.0
Joe Burrow,3915511,CIN,QB,2021,passing,2026-07-03T11:39:45.144098,16.0,366.0,520.0,70.4,4611.0,8.9,288.2,82.0,34.0,14.0,51.0,370.0,60.2,108.3
Dak Prescott,2577417,DAL,QB,2021,passing,2026-07-03T11:39:45.144098,16.0,410.0,596.0,68.8,4449.0,7.5,278.1,51.0,37.0,10.0,30.0,144.0,60.5,104.2
Josh Allen,3918298,BUF,QB,2021,passing,2026-07-03T11:39:45.144098,17.0,409.0,646.0,63.3,4407.0,6.8,259.2,61.0,36.0,15.0,26.0,164.0,66.3,92.2
Kirk Cousins,14880,MIN,QB,2021,passing,2026-07-03T11:39:45.144098,16.0,372.0,561.0,66.3,4221.0,7.5,263.8,64.0,33.0,7.0,28.0,197.0,58.3,103.1
Aaron Rodgers,8439,GB,QB,2021,passing,2026-07-03T11:39:45.144098,16.0,366.0,531.0,68.9,4115.0,7.8,257.2,75.0,37.0,4.0,30.0,188.0,74.1,111.9
Matt Ryan,11237,ATL,QB,2021,passing,2026-07-03T11:39:45.144098,17.0,375.0,560.0,67.0,3968.0,7.1,233.4,64.0,20.0,12.0,40.0,274.0,52.2,90.4
Jimmy Garoppolo,16760,SF,QB,2021,passing,2026-07-03T11:39:45.144098,15.0,301.0,441.0,68.3,3810.0,8.6,254.0,83.0,20.0,12.0,29.0,201.0,59.2,98.7
Mac Jones,4241464,NE,QB,2021,passing,2026-07-03T11:39:45.144098,17.0,352.0,521.0,67.6,3801.0,7.3,223.6,75.0,22.0,13.0,28.0,241.0,56.9,92.5
Kyler Murray,3917315,ARI,QB,2021,passing,2026-07-03T11:39:45.144098,14.0,333.0,481.0,69.2,3787.0,7.9,270.5,77.0,24.0,10.0,31.0,286.0,63.2,100.6
Ben Roethlisberger,5536,PIT,QB,2021,passing,2026-07-03T11:39:45.144098,16.0,390.0,605.0,64.5,3740.0,6.2,233.8,59.0,22.0,10.0,38.0,239.0,41.3,86.8
Ryan Tannehill,14876,TEN,QB,2021,passing,2026-07-03T11:39:45.144098,17.0,357.0,531.0,67.2,3734.0,7.0,219.6,57.0,21.0,14.0,47.0,327.0,61.8,89.6
Trevor Lawrence,4360310,JAX,QB,2021,passing,2026-07-03T11:39:45.144098,17.0,359.0,602.0,59.6,3641.0,6.0,214.2,58.0,12.0,17.0,32.0,238.0,39.1,71.9
Carson Wentz,2573079,IND,QB,2021,passing,2026-07-03T11:39:45.144098,17.0,322.0,516.0,62.4,3563.0,6.9,209.6,76.0,27.0,7.0,32.0,227.0,60.6,94.6
Taylor Heinicke,2565969,WSH,QB,2021,passing,2026-07-03T11:39:45.144098,16.0,321.0,494.0,65.0,3419.0,6.9,213.7,73.0,20.0,15.0,38.0,278.0,45.8,85.9
Jared Goff,3046779,DET,QB,2021,passing,2026-07-03T11:39:45.144098,14.0,332.0,494.0,67.2,3245.0,6.6,231.8,63.0,19.0,8.0,35.0,280.0,45.5,91.5
Jalen Hurts,4040715,PHI,QB,2021,passing,2026-07-03T11:39:45.144098,15.0,265.0,432.0,61.3,3144.0,7.3,209.6,91.0,16.0,9.0,26.0,150.0,54.6,87.2
Russell Wilson,14881,SEA,QB,2021,passing,2026-07-03T11:39:45.144098,14.0,259.0,400.0,64.8,3113.0,7.8,222.4,69.0,25.0,6.0,33.0,266.0,60.6,103.1
Lamar Jackson,3916387,BAL,QB,2021,passing,2026-07-03T11:39:45.144098,12.0,246.0,382.0,64.4,2882.0,7.5,240.2,49.0,16.0,13.0,38.0,190.0,56.8,87.0
Davis Mills,4242546,HOU,QB,2021,passing,2026-07-03T11:39:45.144098,13.0,263.0,394.0,66.8,2664.0,6.8,204.9,67.0,16.0,10.0,31.0,206.0,41.2,88.8
Tua Tagovailoa,4241479,MIA,QB,2021,passing,2026-07-03T11:39:45.144098,13.0,263.0,388.0,67.8,2653.0,6.8,204.1,65.0,16.0,10.0,20.0,152.0,55.7,90.1
Sam Darnold,3912547,CAR,QB,2021,passing,2026-07-03T11:39:45.144098,12.0,243.0,406.0,59.9,2527.0,6.2,210.6,63.0,9.0,13.0,35.0,204.0,38.8,71.9
Zach Wilson,4361259,NYJ,QB,2021,passing,2026-07-03T11:39:45.144098,13.0,213.0,383.0,55.6,2334.0,6.1,179.5,54.0,9.0,11.0,44.0,370.0,33.4,69.7
Andy Dalton,14012,CHI,QB,2021,passing,2026-07-03T11:39:45.144098,8.0,149.0,236.0,63.1,1515.0,6.4,189.4,60.0,8.0,9.0,18.0,143.0,39.2,76.9
Jacoby Brissett,2578570,MIA,QB,2021,passing,2026-07-03T11:39:45.144098,11.0,141.0,225.0,62.7,1283.0,5.7,116.6,52.0,5.0,4.0,19.0,132.0,54.3,78.1
Trevor Siemian,2511109,NO,QB,2021,passing,2026-07-03T11:39:45.144098,6.0,108.0,188.0,57.4,1154.0,6.1,192.3,46.0,11.0,3.0,9.0,64.0,41.3,88.4
Tyler Huntley,4035671,BAL,QB,2021,passing,2026-07-03T11:39:45.144098,7.0,122.0,188.0,64.9,1081.0,5.8,154.4,43.0,3.0,4.0,18.0,107.0,55.0,76.6
Taysom Hill,2468609,NO,QB,2021,passing,2026-07-03T11:39:45.144098,12.0,78.0,134.0,58.2,978.0,7.3,81.5,70.0,4.0,5.0,9.0,64.0,48.5,75.4
Tyrod Taylor,14163,HOU,QB,2021,passing,2026-07-03T11:39:45.144098,6.0,91.0,150.0,60.7,966.0,6.4,161.0,52.0,5.0,5.0,13.0,119.0,46.4,76.7
Mike White,3051381,NYJ,QB,2021,passing,2026-07-03T11:39:45.144098,4.0,88.0,132.0,66.7,953.0,7.2,238.3,28.0,5.0,8.0,4.0,18.0,56.5,75.1
Mike Glennon,15837,NYG,QB,2021,passing,2026-07-03T11:39:45.144098,6.0,90.0,167.0,53.9,790.0,4.7,131.7,60.0,4.0,10.0,9.0,68.0,14.7,49.7
Drew Lock,3924327,DEN,QB,2021,passing,2026-07-03T11:39:45.144098,6.0,67.0,111.0,60.4,787.0,7.1,131.2,44.0,2.0,2.0,9.0,52.0,28.1,80.4
Colt McCoy,13199,ARI,QB,2021,passing,2026-07-03T11:39:45.144098,8.0,74.0,99.0,74.7,740.0,7.5,92.5,50.0,3.0,1.0,6.0,40.0,60.4,101.4
Geno Smith,15864,SEA,QB,2021,passing,2026-07-03T11:39:45.144098,4.0,65.0,95.0,68.4,702.0,7.4,175.5,84.0,5.0,1.0,13.0,117.0,51.8,103.0
Cam Newton,13994,CAR,QB,2021,passing,2026-07-03T11:39:45.144098,8.0,69.0,126.0,54.8,684.0,5.4,85.5,64.0,4.0,5.0,10.0,83.0,30.4,64.4
Josh Johnson,11394,BAL/NYJ,QB,2021,passing,2026-07-03T11:39:45.144098,4.0,57.0,85.0,67.1,638.0,7.5,159.5,28.0,5.0,2.0,3.0,23.0,57.7,99.0
Trey Lance,4383351,SF,QB,2021,passing,2026-07-03T11:39:45.144098,6.0,41.0,71.0,57.7,603.0,8.5,100.5,76.0,5.0,2.0,4.0,15.0,39.0,97.3
Tim Boyle,3045169,DET,QB,2021,passing,2026-07-03T11:39:45.144098,5.0,61.0,94.0,64.9,526.0,5.6,105.2,42.0,3.0,6.0,0.0,0.0,31.4,63.5
Case Keenum,15168,CLE,QB,2021,passing,2026-07-03T11:39:45.144098,7.0,47.0,72.0,65.3,462.0,6.4,66.0,34.0,3.0,1.0,5.0,29.0,42.7,91.3
Gardner Minshew II,4038524,PHI,QB,2021,passing,2026-07-03T11:39:45.144098,4.0,41.0,60.0,68.3,439.0,7.3,109.8,36.0,4.0,1.0,5.0,31.0,66.2,104.8
Cooper Rush,2972515,DAL,QB,2021,passing,2026-07-03T11:39:45.144098,5.0,30.0,47.0,63.8,422.0,9.0,84.4,73.0,3.0,1.0,3.0,19.0,47.8,105.1
Jordan Love,4036378,GB,QB,2021,passing,2026-07-03T11:39:45.144098,6.0,36.0,62.0,58.1,411.0,6.6,68.5,62.0,2.0,3.0,3.0,23.0,36.8,68.7
PJ Walker,3051308,CAR,QB,2021,passing,2026-07-03T11:39:45.144098,5.0,36.0,66.0,54.5,362.0,5.5,72.4,24.0,1.0,3.0,7.0,47.0,23.4,56.5
Joe Flacco,11252,NYJ,QB,2021,passing,2026-07-03T11:39:45.144098,2.0,27.0,42.0,64.3,338.0,8.0,169.0,62.0,3.0,0.0,2.0,13.0,49.5,113.0
Mason Rudolph,3116407,PIT,QB,2021,passing,2026-07-03T11:39:45.144098,2.0,35.0,58.0,60.3,277.0,4.8,138.5,36.0,1.0,1.0,0.0,0.0,45.4,70.8
Nick Foles,14877,CHI,QB,2021,passing,2026-07-03T11:39:45.144098,1.0,24.0,35.0,68.6,250.0,7.1,250.0,30.0,1.0,0.0,4.0,21.0,51.6,98.5
Brian Hoyer,12477,NE,QB,2021,passing,2026-07-03T11:39:45.144098,5.0,9.0,11.0,81.8,227.0,20.6,45.4,48.0,1.0,0.0,0.0,0.0,97.9,149.1
Jake Fromm,4240689,NYG,QB,2021,passing,2026-07-03T11:39:45.144098,3.0,27.0,60.0,45.0,210.0,3.5,70.0,36.0,1.0,3.0,6.0,33.0,18.8,38.9
Garrett Gilbert,16809,WSH,QB,2021,passing,2026-07-03T11:39:45.144098,1.0,20.0,31.0,64.5,194.0,6.3,194.0,46.0,0.0,0.0,2.0,20.0,45.6,81.9
Sean Mannion,2517017,MIN,QB,2021,passing,2026-07-03T11:39:45.144098,1.0,22.0,36.0,61.1,189.0,5.3,189.0,30.0,1.0,0.0,2.0,15.0,39.1,84.1
Brandon Allen,2574511,CIN,QB,2021,passing,2026-07-03T11:39:45.144098,6.0,17.0,34.0,50.0,149.0,4.4,24.8,26.0,2.0,0.0,4.0,33.0,10.4,81.6
Nick Mullens,3059989,CLE,QB,2021,passing,2026-07-03T11:39:45.144098,1.0,20.0,30.0,66.7,147.0,4.9,147.0,25.0,1.0,0.0,0.0,0.0,81.5,89.2
Ian Book,4046678,NO,QB,2021,passing,2026-07-03T11:39:45.144098,1.0,12.0,20.0,60.0,135.0,6.8,135.0,56.0,0.0,2.0,8.0,54.0,2.8,40.6
Kyle Allen,3115293,WSH,QB,2021,passing,2026-07-03T11:39:45.144098,2.0,12.0,19.0,63.2,120.0,6.3,60.0,19.0,1.0,0.0,2.0,5.0,29.3,98.6
Cedrick Wilson Jr.,4036335,DAL,WR,2021,passing,2026-07-03T11:39:45.144098,16.0,3.0,3.0,100.0,88.0,29.3,5.5,35.0,0.0,0.0,0.0,0.0,99.9,118.8
Chad Henne,11291,KC,QB,2021,passing,2026-07-03T11:39:45.144098,4.0,11.0,16.0,68.8,82.0,5.1,20.5,17.0,0.0,0.0,0.0,0.0,74.1,80.7
Tom Kennedy,3126997,DET,WR,2021,passing,2026-07-03T11:39:45.144098,12.0,1.0,1.0,100.0,75.0,75.0,6.3,75.0,1.0,0.0,0.0,0.0,100.0,158.3
Blaine Gabbert,13987,TB,QB,2021,passing,2026-07-03T11:39:45.144098,6.0,7.0,11.0,63.6,67.0,6.1,11.2,23.0,0.0,0.0,1.0,10.0,36.6,80.5
Tyler Boyd,3045144,CIN,WR,2021,passing,2026-07-03T11:39:45.144098,16.0,1.0,1.0,100.0,46.0,46.0,2.9,46.0,0.0,0.0,0.0,0.0,99.0,118.8
Jakobi Meyers,3916433,NE,WR,2021,passing,2026-07-03T11:39:45.144098,17.0,2.0,2.0,100.0,45.0,22.5,2.6,30.0,0.0,0.0,0.0,0.0,78.1,118.8
Mitchell Trubisky,3039707,BUF,QB,2021,passing,2026-07-03T11:39:45.144098,6.0,6.0,8.0,75.0,43.0,5.4,7.2,15.0,0.0,1.0,0.0,0.0,77.7,47.4
Jack Fox,3916370,DET,P,2021,passing,2026-07-03T11:39:45.144098,17.0,2.0,3.0,66.7,38.0,12.7,2.2,21.0,0.0,0.0,0.0,0.0,,109.7
Justin Jefferson,4262921,MIN,WR,2021,passing,2026-07-03T11:39:45.144098,17.0,2.0,4.0,50.0,35.0,8.8,2.1,24.0,0.0,0.0,0.0,0.0,48.7,80.2
Christian Kirk,3895856,ARI,WR,2021,passing,2026-07-03T11:39:45.144098,17.0,1.0,1.0,100.0,33.0,33.0,1.9,33.0,0.0,0.0,0.0,0.0,100.0,118.8
Kendrick Bourne,3045523,NE,WR,2021,passing,2026-07-03T11:39:45.144098,17.0,1.0,1.0,100.0,25.0,25.0,1.5,25.0,1.0,0.0,0.0,0.0,100.0,158.3
Jacob Eason,4035003,IND,QB,2021,passing,2026-07-03T11:39:45.144098,1.0,2.0,5.0,40.0,25.0,5.0,25.0,15.0,0.0,1.0,0.0,0.0,0.1,16.7
Deebo Samuel,3126486,SF,WR,2021,passing,2026-07-03T11:39:45.144098,16.0,1.0,2.0,50.0,24.0,12.0,1.5,24.0,1.0,0.0,0.0,0.0,99.0,133.3
Chris Banjo,15782,ARI,S,2021,passing,2026-07-03T11:39:45.144098,16.0,1.0,1.0,100.0,23.0,23.0,1.4,23.0,0.0,0.0,0.0,0.0,,118.8
Josh Rosen,3886377,ATL,QB,2021,passing,2026-07-03T11:39:45.144098,4.0,2.0,11.0,18.2,19.0,1.7,4.8,14.0,0.0,2.0,0.0,0.0,0.2,0.0
Kadarius Toney,4240600,NYG,WR,2021,passing,2026-07-03T11:39:45.144098,10.0,1.0,3.0,33.3,19.0,6.3,1.9,19.0,0.0,0.0,1.0,6.0,2.3,56.3
Courtland Sutton,3128429,DEN,WR,2021,passing,2026-07-03T11:39:45.144098,17.0,1.0,1.0,100.0,16.0,16.0,0.9,16.0,0.0,0.0,0.0,0.0,100.0,118.8
Tommy Townsend,3915398,KC,P,2021,passing,2026-07-03T11:39:45.144098,16.0,1.0,1.0,100.0,16.0,16.0,1.0,16.0,0.0,0.0,0.0,0.0,,118.8
Matthias Farley,2579840,TEN,S,2021,passing,2026-07-03T11:39:45.144098,17.0,1.0,1.0,100.0,6.0,6.0,0.4,6.0,0.0,0.0,0.0,0.0,,91.7
Derrick Henry,3043078,TEN,RB,2021,passing,2026-07-03T11:39:45.144098,8.0,1.0,1.0,100.0,5.0,5.0,0.6,5.0,1.0,0.0,0.0,0.0,80.6,127.1
John Wolford,3124092,LAR,QB,2021,passing,2026-07-03T11:39:45.144098,3.0,1.0,4.0,25.0,5.0,1.3,1.7,5.0,0.0,1.0,1.0,8.0,0.1,0.0
Kellen Mond,4240904,MIN,QB,2021,passing,2026-07-03T11:39:45.144098,1.0,2.0,3.0,66.7,5.0,1.7,5.0,6.0,0.0,0.0,0.0,0.0,18.2,70.1
Marcus Mariota,2576980,LV,QB,2021,passing,2026-07-03T11:39:45.144098,10.0,1.0,2.0,50.0,4.0,2.0,0.4,4.0,0.0,0.0,0.0,0.0,46.2,56.3
Ezekiel Elliott,3051392,DAL,RB,2021,passing,2026-07-03T11:39:45.144098,17.0,1.0,1.0,100.0,4.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,12.2,83.3
Johnny Hekker,15153,LAR,P,2021,passing,2026-07-03T11:39:45.144098,17.0,1.0,1.0,100.0,2.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,,79.2
Greg Ward,3040035,PHI,WR,2021,passing,2026-07-03T11:39:45.144098,17.0,1.0,2.0,50.0,2.0,1.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,56.3
Kendall Hinton,3700815,DEN,WR,2021,passing,2026-07-03T11:39:45.144098,16.0,1.0,1.0,100.0,1.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,100.0,79.2
Sam Koch,9789,BAL,P,2021,passing,2026-07-03T11:39:45.144098,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.6
Danny Amendola,11674,HOU,WR,2021,passing,2026-07-03T11:39:45.144098,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,39.6
Cole Beasley,15349,BUF,WR,2021,passing,2026-07-03T11:39:45.144098,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,39.6
Cordarrelle Patterson,15807,ATL,RB,2021,passing,2026-07-03T11:39:45.144098,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,39.6
Keenan Allen,15818,LAC,WR,2021,passing,2026-07-03T11:39:45.144098,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.3,39.6
Rex Burkhead,15971,HOU,RB,2021,passing,2026-07-03T11:39:45.144098,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39.6
Jarvis Landry,16790,CLE,WR,2021,passing,2026-07-03T11:39:45.144098,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,98.1,39.6
Albert Wilson,17051,MIA,WR,2021,passing,2026-07-03T11:39:45.144098,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,39.6
Chris Boswell,17372,PIT,PK,2021,passing,2026-07-03T11:39:45.144098,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.6
Jamison Crowder,2576716,NYJ,WR,2021,passing,2026-07-03T11:39:45.144098,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,87.5,39.6
Riley Dixon,2577619,NYG,P,2021,passing,2026-07-03T11:39:45.144098,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.6
Ty Long,2582324,LAC,P,2021,passing,2026-07-03T11:39:45.144098,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.6
Stefon Diggs,2976212,BUF,WR,2021,passing,2026-07-03T11:39:45.144098,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.4,39.6
Cooper Kupp,2977187,LAR,WR,2021,passing,2026-07-03T11:39:45.144098,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,39.6
Keelan Cole Sr.,3071572,NYJ,WR,2021,passing,2026-07-03T11:39:45.144098,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,39.6
Mike Gesicki,3116164,MIA,TE,2021,passing,2026-07-03T11:39:45.144098,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,39.6
David Blough,3116188,DET,QB,2021,passing,2026-07-03T11:39:45.144098,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.1,39.6
Brett Rypien,3722362,DEN,QB,2021,passing,2026-07-03T11:39:45.144098,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,39.6
Feleipe Franks,4034948,ATL,TE,2021,passing,2026-07-03T11:39:45.144098,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
David Montgomery,4035538,CHI,RB,2021,passing,2026-07-03T11:39:45.144098,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.6,0.0
Blake Gillikin,4045180,NO,P,2021,passing,2026-07-03T11:39:45.144098,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,39.6
A.J. Brown,4047646,TEN,WR,2021,passing,2026-07-03T11:39:45.144098,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39.6
D'Andre Swift,4259545,DET,RB,2021,passing,2026-07-03T11:39:45.144098,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,39.6
Brandon Zylstra,4294520,CAR,WR,2021,passing,2026-07-03T11:39:45.144098,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,39.6
