player_name,espn_id,team,position,season,category,fetched_at,GP,BIG,YDS/G,FUM,LST,FD,RUSH_YDS,RUSH_TD,RUSH_AVG,CAR,RUSH_LNG
Jonathan Taylor,4242335,IND,RB,2021,rushing,2026-07-03T11:39:58.990501,17.0,14.0,106.5,3.0,2.0,107.0,1811.0,18.0,5.5,332.0,83.0
Nick Chubb,3128720,CLE,RB,2021,rushing,2026-07-03T11:39:58.990501,14.0,12.0,89.9,2.0,1.0,61.0,1259.0,8.0,5.5,228.0,70.0
Joe Mixon,3116385,CIN,RB,2021,rushing,2026-07-03T11:39:58.990501,16.0,6.0,75.3,1.0,1.0,60.0,1205.0,13.0,4.1,292.0,32.0
Najee Harris,4241457,PIT,RB,2021,rushing,2026-07-03T11:39:58.990501,17.0,6.0,70.6,0.0,0.0,62.0,1200.0,7.0,3.9,307.0,37.0
Dalvin Cook,3116593,MIN,RB,2021,rushing,2026-07-03T11:39:58.990501,13.0,9.0,89.2,3.0,2.0,57.0,1159.0,6.0,4.7,249.0,66.0
Antonio Gibson,4360294,WSH,RB,2021,rushing,2026-07-03T11:39:58.990501,16.0,4.0,64.8,5.0,3.0,65.0,1037.0,7.0,4.0,258.0,27.0
Ezekiel Elliott,3051392,DAL,RB,2021,rushing,2026-07-03T11:39:58.990501,17.0,3.0,58.9,1.0,1.0,55.0,1002.0,10.0,4.2,237.0,47.0
Elijah Mitchell,4241555,SF,RB,2021,rushing,2026-07-03T11:39:58.990501,11.0,6.0,87.5,0.0,0.0,47.0,963.0,5.0,4.7,207.0,39.0
Derrick Henry,3043078,TEN,RB,2021,rushing,2026-07-03T11:39:58.990501,8.0,3.0,117.1,1.0,0.0,49.0,937.0,10.0,4.3,219.0,76.0
Damien Harris,3925347,NE,RB,2021,rushing,2026-07-03T11:39:58.990501,15.0,8.0,61.9,2.0,2.0,55.0,929.0,15.0,4.6,202.0,64.0
Melvin Gordon III,2576434,DEN,RB,2021,rushing,2026-07-03T11:39:58.990501,16.0,3.0,57.4,3.0,3.0,48.0,918.0,8.0,4.5,203.0,70.0
Austin Ekeler,3068267,LAC,RB,2021,rushing,2026-07-03T11:39:58.990501,16.0,3.0,56.9,0.0,0.0,53.0,911.0,12.0,4.4,206.0,28.0
