player_name,espn_id,team,position,season,category,fetched_at,GP,SOLO,AST,TOT,TFL,PD,FF,FR,FTD,SACKS,INT_DEF,DEF_YDS,DEF_TD,DEF_LNG
Trevon Diggs,4040966,DAL,CB,2021,defense_ints,2026-07-03T11:40:55.855098,16.0,43.0,9.0,52.0,0.0,21.0,0.0,0.0,0.0,0.0,11.0,142.0,2.0,1.0
J.C. Jackson,3121649,NE,CB,2021,defense_ints,2026-07-03T11:40:55.855098,17.0,44.0,14.0,58.0,2.0,23.0,1.0,0.0,0.0,0.0,8.0,92.0,1.0,1.0
Amani Oruwariye,3116175,DET,CB,2021,defense_ints,2026-07-03T11:40:55.855098,14.0,44.0,13.0,57.0,2.0,11.0,0.0,1.0,0.0,0.0,6.0,73.0,0.0,1.0
Micah Hyde,15960,BUF,S,2021,defense_ints,2026-07-03T11:40:55.855098,17.0,53.0,21.0,74.0,4.0,10.0,1.0,2.0,0.0,1.0,5.0,59.0,1.0,1.0
Jordan Poyer,15979,BUF,S,2021,defense_ints,2026-07-03T11:40:55.855098,16.0,66.0,27.0,93.0,8.0,9.0,0.0,0.0,0.0,3.0,5.0,87.0,0.0,1.0
Kevin Byard,2574056,TEN,S,2021,defense_ints,2026-07-03T11:40:55.855098,17.0,57.0,31.0,88.0,1.0,13.0,2.0,1.0,1.0,1.0,5.0,66.0,1.0,1.0
Quandre Diggs,2577553,SEA,S,2021,defense_ints,2026-07-03T11:40:55.855098,17.0,66.0,28.0,94.0,1.0,7.0,0.0,0.0,0.0,0.0,5.0,68.0,0.0,1.0
Justin Simmons,2969860,DEN,S,2021,defense_ints,2026-07-03T11:40:55.855098,17.0,60.0,20.0,80.0,4.0,12.0,0.0,0.0,0.0,1.5,5.0,76.0,0.0,1.0
Xavien Howard,2978935,MIA,CB,2021,defense_ints,2026-07-03T11:40:55.855098,16.0,39.0,11.0,50.0,0.0,16.0,2.0,2.0,1.0,1.0,5.0,54.0,1.0,1.0
Rasul Douglas,3943270,GB,CB,2021,defense_ints,2026-07-03T11:40:55.855098,12.0,52.0,5.0,57.0,1.0,13.0,1.0,0.0,0.0,0.0,5.0,105.0,2.0,1.0
