player_name,espn_id,team,position,season,category,fetched_at,GP,BIG,YDS/G,FUM,LST,FD,RUSH_YDS,RUSH_TD,RUSH_AVG,CAR,RUSH_LNG
Josh Jacobs,4047365,LV,RB,2022,rushing,2026-07-03T11:41:21.722856,17.0,7.0,97.2,2.0,0.0,93.0,1653.0,12.0,4.9,340.0,86.0
Derrick Henry,3043078,TEN,RB,2022,rushing,2026-07-03T11:41:21.722856,16.0,10.0,96.1,4.0,2.0,65.0,1538.0,13.0,4.4,349.0,56.0
Nick Chubb,3128720,CLE,RB,2022,rushing,2026-07-03T11:41:21.722856,17.0,13.0,89.7,1.0,1.0,69.0,1525.0,12.0,5.1,302.0,41.0
Saquon Barkley,3929630,NYG,RB,2022,rushing,2026-07-03T11:41:21.722856,16.0,9.0,82.0,1.0,0.0,62.0,1312.0,10.0,4.4,295.0,68.0
Miles Sanders,4045163,PHI,RB,2022,rushing,2026-07-03T11:41:21.722856,17.0,9.0,74.6,1.0,1.0,62.0,1269.0,11.0,4.9,259.0,40.0
Dalvin Cook,3116593,MIN,RB,2022,rushing,2026-07-03T11:41:21.722856,17.0,5.0,69.0,3.0,3.0,50.0,1173.0,8.0,4.4,264.0,81.0
Justin Fields,4362887,CHI,QB,2022,rushing,2026-07-03T11:41:21.722856,15.0,10.0,76.2,9.0,0.0,65.0,1143.0,8.0,7.1,160.0,67.0
Christian McCaffrey,3117251,SF/CAR,RB,2022,rushing,2026-07-03T11:41:21.722856,17.0,9.0,67.0,1.0,0.0,59.0,1139.0,8.0,4.7,244.0,49.0
Travis Etienne Jr.,4239996,JAX,RB,2022,rushing,2026-07-03T11:41:21.722856,17.0,8.0,66.2,3.0,3.0,52.0,1125.0,5.0,5.1,220.0,62.0
Aaron Jones Sr.,3042519,GB,RB,2022,rushing,2026-07-03T11:41:21.722856,17.0,6.0,65.9,3.0,1.0,54.0,1121.0,2.0,5.3,213.0,36.0
Jamaal Williams,2980453,DET,RB,2022,rushing,2026-07-03T11:41:21.722856,17.0,4.0,62.7,3.0,2.0,65.0,1066.0,17.0,4.1,262.0,58.0
Kenneth Walker III,4567048,SEA,RB,2022,rushing,2026-07-03T11:41:21.722856,15.0,10.0,70.0,0.0,0.0,51.0,1050.0,9.0,4.6,228.0,74.0
Rhamondre Stevenson,4569173,NE,RB,2022,rushing,2026-07-03T11:41:21.722856,17.0,7.0,61.2,2.0,1.0,49.0,1040.0,5.0,5.0,210.0,49.0
Tyler Allgeier,4373626,ATL,RB,2022,rushing,2026-07-03T11:41:21.722856,16.0,6.0,64.7,0.0,0.0,53.0,1035.0,3.0,4.9,210.0,44.0
Najee Harris,4241457,PIT,RB,2022,rushing,2026-07-03T11:41:21.722856,17.0,1.0,60.8,2.0,1.0,45.0,1034.0,7.0,3.8,272.0,36.0
Tony Pollard,3916148,DAL,RB,2022,rushing,2026-07-03T11:41:21.722856,16.0,9.0,62.9,0.0,0.0,46.0,1007.0,9.0,5.2,193.0,57.0
Dameon Pierce,4360238,HOU,RB,2022,rushing,2026-07-03T11:41:21.722856,13.0,7.0,72.2,4.0,2.0,54.0,939.0,4.0,4.3,220.0,75.0
Austin Ekeler,3068267,LAC,RB,2022,rushing,2026-07-03T11:41:21.722856,17.0,4.0,53.8,3.0,2.0,46.0,915.0,13.0,4.5,204.0,72.0
D'Onta Foreman,3125116,CAR,RB,2022,rushing,2026-07-03T11:41:21.722856,17.0,8.0,53.8,1.0,0.0,45.0,914.0,5.0,4.5,203.0,60.0
Alvin Kamara,3054850,NO,RB,2022,rushing,2026-07-03T11:41:21.722856,15.0,3.0,59.8,2.0,2.0,40.0,897.0,2.0,4.0,223.0,27.0
Raheem Mostert,2576414,MIA,RB,2022,rushing,2026-07-03T11:41:21.722856,16.0,6.0,55.7,1.0,1.0,44.0,891.0,3.0,4.9,181.0,67.0
Ezekiel Elliott,3051392,DAL,RB,2022,rushing,2026-07-03T11:41:21.722856,15.0,5.0,58.4,0.0,0.0,52.0,876.0,12.0,3.8,231.0,27.0
Jonathan Taylor,4242335,IND,RB,2022,rushing,2026-07-03T11:41:21.722856,11.0,5.0,78.3,3.0,3.0,39.0,861.0,4.0,4.5,192.0,66.0
Jeff Wilson Jr.,3122976,SF/MIA,RB,2022,rushing,2026-07-03T11:41:21.722856,16.0,7.0,53.8,2.0,1.0,44.0,860.0,5.0,4.9,176.0,41.0
Isiah Pacheco,4361529,KC,RB,2022,rushing,2026-07-03T11:41:21.722856,17.0,3.0,48.8,3.0,2.0,37.0,830.0,5.0,4.9,170.0,31.0
Devin Singletary,4040761,BUF,RB,2022,rushing,2026-07-03T11:41:21.722856,16.0,5.0,51.2,3.0,3.0,42.0,819.0,5.0,4.6,177.0,33.0
Joe Mixon,3116385,CIN,RB,2022,rushing,2026-07-03T11:41:21.722856,14.0,4.0,58.1,0.0,0.0,47.0,814.0,7.0,3.9,210.0,40.0
David Montgomery,4035538,CHI,RB,2022,rushing,2026-07-03T11:41:21.722856,16.0,2.0,50.1,1.0,1.0,41.0,801.0,5.0,4.0,201.0,28.0
Brian Robinson Jr.,4241474,WSH,RB,2022,rushing,2026-07-03T11:41:21.722856,12.0,2.0,66.4,2.0,0.0,49.0,797.0,2.0,3.9,205.0,24.0
Cam Akers,4240021,LAR,RB,2022,rushing,2026-07-03T11:41:21.722856,15.0,3.0,52.4,2.0,2.0,39.0,786.0,7.0,4.2,188.0,42.0
James Conner,3045147,ARI,RB,2022,rushing,2026-07-03T11:41:21.722856,13.0,3.0,60.2,3.0,1.0,48.0,782.0,7.0,4.3,183.0,23.0
AJ Dillon,4239934,GB,RB,2022,rushing,2026-07-03T11:41:21.722856,17.0,3.0,45.3,0.0,0.0,47.0,770.0,7.0,4.1,186.0,27.0
Lamar Jackson,3916387,BAL,QB,2022,rushing,2026-07-03T11:41:21.722856,12.0,5.0,63.7,4.0,1.0,46.0,764.0,3.0,6.8,112.0,79.0
Josh Allen,3918298,BUF,QB,2022,rushing,2026-07-03T11:41:21.722856,16.0,8.0,47.6,8.0,2.0,55.0,762.0,7.0,6.1,124.0,44.0
Latavius Murray,15920,NO/DEN,RB,2022,rushing,2026-07-03T11:41:21.722856,13.0,5.0,58.5,1.0,0.0,44.0,760.0,6.0,4.4,171.0,52.0
Jalen Hurts,4040715,PHI,QB,2022,rushing,2026-07-03T11:41:21.722856,15.0,7.0,50.7,5.0,0.0,67.0,760.0,13.0,4.6,165.0,42.0
Khalil Herbert,4035886,CHI,RB,2022,rushing,2026-07-03T11:41:21.722856,13.0,4.0,56.2,0.0,0.0,26.0,731.0,4.0,5.7,129.0,63.0
Daniel Jones,3917792,NYG,QB,2022,rushing,2026-07-03T11:41:21.722856,16.0,4.0,44.3,2.0,1.0,57.0,708.0,7.0,5.9,120.0,25.0
Cordarrelle Patterson,15807,ATL,RB,2022,rushing,2026-07-03T11:41:21.722856,13.0,4.0,53.5,1.0,1.0,39.0,695.0,8.0,4.8,144.0,40.0
Leonard Fournette,3115364,TB,RB,2022,rushing,2026-07-03T11:41:21.722856,16.0,1.0,41.8,0.0,0.0,39.0,668.0,3.0,3.5,189.0,23.0
Taysom Hill,2468609,NO,QB,2022,rushing,2026-07-03T11:41:21.722856,16.0,3.0,35.9,1.0,0.0,34.0,575.0,7.0,6.0,96.0,60.0
Antonio Gibson,4360294,WSH,RB,2022,rushing,2026-07-03T11:41:21.722856,15.0,1.0,36.4,1.0,0.0,32.0,546.0,3.0,3.7,149.0,20.0
D'Andre Swift,4259545,DET,RB,2022,rushing,2026-07-03T11:41:21.722856,14.0,3.0,38.7,0.0,0.0,21.0,542.0,5.0,5.5,99.0,50.0
