player_name,espn_id,team,position,season,category,fetched_at,GP,REC,TGTS,BIG,YDS/G,FUM,LST,YAC,FD,REC_YDS,REC_TD,REC_AVG,REC_LNG
Cole Kmet,4258595,CHI,TE,2022,receiving,2026-07-03T11:41:35.354918,17.0,50.0,69.0,6.0,32.0,1.0,0.0,286.0,27.0,544.0,7.0,10.9,50.0
DeVante Parker,2576623,NE,WR,2022,receiving,2026-07-03T11:41:35.354918,13.0,31.0,47.0,10.0,41.5,0.0,0.0,105.0,25.0,539.0,3.0,17.4,43.0
DeAndre Carter,2580216,LAC,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,46.0,65.0,10.0,31.6,1.0,1.0,206.0,29.0,538.0,3.0,11.7,35.0
Corey Davis,3042778,NYJ,WR,2022,receiving,2026-07-03T11:41:35.354918,13.0,32.0,64.0,7.0,41.2,0.0,0.0,109.0,28.0,536.0,2.0,16.8,66.0
Olamide Zaccheaus,3917914,ATL,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,40.0,61.0,9.0,31.4,1.0,1.0,189.0,25.0,533.0,3.0,13.3,45.0
Marvin Jones Jr.,15072,JAX,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,46.0,81.0,6.0,33.1,0.0,0.0,95.0,30.0,529.0,3.0,11.5,37.0
Robert Woods,15880,TEN,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,53.0,91.0,3.0,31.0,0.0,0.0,156.0,31.0,527.0,2.0,9.9,41.0
Leonard Fournette,3115364,TB,RB,2022,receiving,2026-07-03T11:41:35.354918,16.0,73.0,83.0,3.0,32.7,0.0,0.0,563.0,26.0,523.0,3.0,7.2,44.0
Jahan Dotson,4361409,WSH,WR,2022,receiving,2026-07-03T11:41:35.354918,12.0,35.0,61.0,10.0,43.6,0.0,0.0,137.0,26.0,523.0,7.0,14.9,61.0
Dawson Knox,3930086,BUF,TE,2022,receiving,2026-07-03T11:41:35.354918,15.0,48.0,65.0,8.0,34.5,0.0,0.0,193.0,25.0,517.0,6.0,10.8,45.0
Jerick McKinnon,16782,KC,RB,2022,receiving,2026-07-03T11:41:35.354918,17.0,56.0,71.0,6.0,30.1,1.0,1.0,541.0,28.0,512.0,9.0,9.1,56.0
Hunter Henry,3046439,NE,TE,2022,receiving,2026-07-03T11:41:35.354918,17.0,41.0,59.0,10.0,29.9,0.0,0.0,203.0,23.0,509.0,2.0,12.4,39.0
Juwan Johnson,3929645,NO,TE,2022,receiving,2026-07-03T11:41:35.354918,16.0,42.0,65.0,8.0,31.8,0.0,0.0,182.0,25.0,508.0,7.0,12.1,41.0
DJ Chark,3115394,DET,WR,2022,receiving,2026-07-03T11:41:35.354918,11.0,30.0,52.0,9.0,45.6,0.0,0.0,134.0,24.0,502.0,3.0,16.7,51.0
Jordan Akins,3128452,HOU,TE,2022,receiving,2026-07-03T11:41:35.354918,15.0,37.0,54.0,8.0,33.0,1.0,1.0,270.0,23.0,495.0,5.0,13.4,46.0
Darnell Mooney,4040655,CHI,WR,2022,receiving,2026-07-03T11:41:35.354918,12.0,40.0,61.0,7.0,41.1,0.0,0.0,164.0,20.0,493.0,2.0,12.3,56.0
Alvin Kamara,3054850,NO,RB,2022,receiving,2026-07-03T11:41:35.354918,15.0,57.0,77.0,3.0,32.7,2.0,2.0,465.0,17.0,490.0,2.0,8.6,54.0
Terrace Marshall Jr.,4362630,CAR,WR,2022,receiving,2026-07-03T11:41:35.354918,14.0,28.0,47.0,10.0,35.0,2.0,0.0,132.0,23.0,490.0,1.0,17.5,43.0
