player_name,espn_id,team,position,season,category,fetched_at,GP,BIG,YDS/G,FUM,LST,FD,RUSH_YDS,RUSH_TD,RUSH_AVG,CAR,RUSH_LNG
Saquon Barkley,3929630,PHI,RB,2024,rushing,2026-07-03T11:27:59.992971,16.0,17.0,125.3,2.0,1.0,82.0,2005.0,13.0,5.8,345.0,72.0
Derrick Henry,3043078,BAL,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,19.0,113.0,3.0,1.0,94.0,1921.0,16.0,5.9,325.0,87.0
Bijan Robinson,4430807,ATL,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,5.0,85.6,1.0,0.0,82.0,1456.0,14.0,4.8,304.0,37.0
Jonathan Taylor,4242335,IND,RB,2024,rushing,2026-07-03T11:27:59.992971,14.0,11.0,102.2,3.0,1.0,71.0,1431.0,11.0,4.7,303.0,70.0
Jahmyr Gibbs,4429795,DET,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,13.0,83.1,0.0,0.0,70.0,1412.0,16.0,5.6,250.0,70.0
Josh Jacobs,4047365,GB,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,7.0,78.2,4.0,3.0,73.0,1329.0,15.0,4.4,301.0,38.0
Kyren Williams,4430737,LAR,RB,2024,rushing,2026-07-03T11:27:59.992971,16.0,2.0,81.2,5.0,3.0,85.0,1299.0,14.0,4.1,316.0,30.0
Chuba Hubbard,4241416,CAR,RB,2024,rushing,2026-07-03T11:27:59.992971,15.0,8.0,79.7,1.0,1.0,62.0,1195.0,10.0,4.8,250.0,38.0
Aaron Jones Sr.,3042519,MIN,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,3.0,66.9,3.0,1.0,49.0,1138.0,5.0,4.5,255.0,41.0
Bucky Irving,4596448,TB,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,8.0,66.0,2.0,1.0,52.0,1122.0,8.0,5.4,207.0,56.0
James Conner,3045147,ARI,RB,2024,rushing,2026-07-03T11:27:59.992971,16.0,6.0,68.4,2.0,0.0,67.0,1094.0,8.0,4.6,236.0,53.0
Tony Pollard,3916148,TEN,RB,2024,rushing,2026-07-03T11:27:59.992971,16.0,6.0,67.4,2.0,2.0,53.0,1079.0,5.0,4.2,260.0,41.0
Rico Dowdle,4038815,DAL,RB,2024,rushing,2026-07-03T11:27:59.992971,16.0,2.0,67.4,3.0,2.0,53.0,1079.0,2.0,4.6,235.0,27.0
Najee Harris,4241457,PIT,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,9.0,61.4,0.0,0.0,50.0,1043.0,6.0,4.0,263.0,36.0
Joe Mixon,3116385,HOU,RB,2024,rushing,2026-07-03T11:27:59.992971,14.0,8.0,72.6,0.0,0.0,52.0,1016.0,11.0,4.1,245.0,59.0
James Cook III,4379399,BUF,RB,2024,rushing,2026-07-03T11:27:59.992971,16.0,6.0,63.1,1.0,0.0,48.0,1009.0,16.0,4.9,207.0,65.0
Chase Brown,4362238,CIN,RB,2024,rushing,2026-07-03T11:27:59.992971,16.0,8.0,61.9,2.0,1.0,49.0,990.0,7.0,4.3,229.0,40.0
D'Andre Swift,4259545,CHI,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,5.0,56.4,1.0,0.0,43.0,959.0,6.0,3.8,253.0,56.0
Alvin Kamara,3054850,NO,RB,2024,rushing,2026-07-03T11:27:59.992971,14.0,3.0,67.9,0.0,0.0,52.0,950.0,6.0,4.2,228.0,24.0
Lamar Jackson,3916387,BAL,QB,2024,rushing,2026-07-03T11:27:59.992971,17.0,8.0,53.8,6.0,4.0,47.0,915.0,4.0,6.6,139.0,48.0
De'Von Achane,4429160,MIA,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,5.0,53.4,0.0,0.0,37.0,907.0,6.0,4.5,203.0,61.0
J.K. Dobbins,4241985,LAC,RB,2024,rushing,2026-07-03T11:27:59.992971,13.0,6.0,69.6,0.0,0.0,47.0,905.0,9.0,4.6,195.0,61.0
Jayden Daniels,4426348,WSH,QB,2024,rushing,2026-07-03T11:27:59.992971,17.0,7.0,52.4,3.0,0.0,55.0,891.0,6.0,6.0,148.0,46.0
Breece Hall,4427366,NYJ,RB,2024,rushing,2026-07-03T11:27:59.992971,16.0,3.0,54.8,5.0,1.0,40.0,876.0,5.0,4.2,209.0,42.0
Tyrone Tracy Jr.,4360516,NYG,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,6.0,49.4,2.0,2.0,39.0,839.0,5.0,4.4,192.0,45.0
Rhamondre Stevenson,4569173,NE,RB,2024,rushing,2026-07-03T11:27:59.992971,15.0,2.0,53.4,6.0,3.0,40.0,801.0,7.0,3.9,207.0,33.0
Brian Robinson Jr.,4241474,WSH,RB,2024,rushing,2026-07-03T11:27:59.992971,14.0,4.0,57.1,2.0,2.0,47.0,799.0,8.0,4.3,187.0,40.0
Jordan Mason,4360569,SF,RB,2024,rushing,2026-07-03T11:27:59.992971,12.0,9.0,65.8,3.0,1.0,37.0,789.0,3.0,5.2,153.0,38.0
David Montgomery,4035538,DET,RB,2024,rushing,2026-07-03T11:27:59.992971,14.0,1.0,55.4,1.0,0.0,50.0,775.0,12.0,4.2,185.0,21.0
Tank Bigsby,4429013,JAX,RB,2024,rushing,2026-07-03T11:27:59.992971,16.0,4.0,47.9,3.0,1.0,39.0,766.0,7.0,4.6,168.0,65.0
Kareem Hunt,3059915,KC,RB,2024,rushing,2026-07-03T11:27:59.992971,13.0,1.0,56.0,0.0,0.0,42.0,728.0,7.0,3.6,200.0,20.0
Tyler Allgeier,4373626,ATL,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,4.0,37.9,0.0,0.0,43.0,644.0,3.0,4.7,137.0,25.0
Jalen Hurts,4040715,PHI,QB,2024,rushing,2026-07-03T11:27:59.992971,15.0,7.0,42.0,4.0,2.0,62.0,630.0,14.0,4.2,150.0,35.0
Rachaad White,4697815,TB,RB,2024,rushing,2026-07-03T11:27:59.992971,16.0,2.0,38.3,2.0,2.0,35.0,613.0,3.0,4.3,144.0,56.0
Kenneth Walker III,4567048,SEA,RB,2024,rushing,2026-07-03T11:27:59.992971,12.0,5.0,47.8,1.0,0.0,28.0,573.0,7.0,3.7,153.0,28.0
Kyler Murray,3917315,ARI,QB,2024,rushing,2026-07-03T11:27:59.992971,17.0,6.0,33.6,4.0,3.0,27.0,572.0,5.0,7.3,78.0,50.0
Zach Charbonnet,4426385,SEA,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,3.0,33.5,0.0,0.0,32.0,569.0,8.0,4.2,135.0,51.0
Jerome Ford,4372019,CLE,RB,2024,rushing,2026-07-03T11:27:59.992971,14.0,5.0,40.4,0.0,0.0,25.0,565.0,3.0,5.4,104.0,66.0
Travis Etienne Jr.,4239996,JAX,RB,2024,rushing,2026-07-03T11:27:59.992971,15.0,2.0,37.2,1.0,1.0,31.0,558.0,2.0,3.7,150.0,22.0
Antonio Gibson,4360294,NE,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,4.0,31.6,2.0,0.0,24.0,538.0,1.0,4.5,120.0,45.0
Josh Allen,3918298,BUF,QB,2024,rushing,2026-07-03T11:27:59.992971,17.0,5.0,31.2,1.0,0.0,52.0,531.0,12.0,5.2,102.0,30.0
Javonte Williams,4361579,DEN,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,1.0,30.2,2.0,2.0,30.0,513.0,4.0,3.7,139.0,20.0
Jaylen Warren,4569987,PIT,RB,2024,rushing,2026-07-03T11:27:59.992971,15.0,1.0,34.1,1.0,1.0,28.0,511.0,1.0,4.3,120.0,22.0
Emanuel Wilson,4887558,GB,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,1.0,29.5,0.0,0.0,27.0,502.0,4.0,4.9,103.0,21.0
Anthony Richardson Sr.,4429084,IND,QB,2024,rushing,2026-07-03T11:27:59.992971,11.0,5.0,45.4,6.0,1.0,33.0,499.0,6.0,5.8,86.0,29.0
Jaleel McLaughlin,4722893,DEN,RB,2024,rushing,2026-07-03T11:27:59.992971,16.0,1.0,31.0,0.0,0.0,25.0,496.0,1.0,4.4,113.0,21.0
Caleb Williams,4431611,CHI,QB,2024,rushing,2026-07-03T11:27:59.992971,17.0,2.0,28.8,5.0,2.0,27.0,489.0,0.0,6.0,81.0,24.0
Cam Akers,4240021,HOU/MIN,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,2.0,26.1,1.0,1.0,21.0,444.0,2.0,4.3,104.0,58.0
Ray Davis,4429501,BUF,RB,2024,rushing,2026-07-03T11:27:59.992971,17.0,2.0,26.0,0.0,0.0,25.0,442.0,3.0,3.9,113.0,23.0
Devin Singletary,4040761,NYG,RB,2024,rushing,2026-07-03T11:27:59.992971,15.0,2.0,29.1,2.0,2.0,24.0,437.0,4.0,3.9,113.0,43.0
Bo Nix,4426338,DEN,QB,2024,rushing,2026-07-03T11:27:59.992971,17.0,6.0,25.3,1.0,0.0,41.0,430.0,4.0,4.7,92.0,32.0
Drake Maye,4431452,NE,QB,2024,rushing,2026-07-03T11:27:59.992971,13.0,3.0,32.4,4.0,2.0,22.0,421.0,2.0,7.8,54.0,41.0
Alexander Mattison,4048244,LV,RB,2024,rushing,2026-07-03T11:27:59.992971,14.0,1.0,30.0,1.0,1.0,25.0,420.0,4.0,3.2,132.0,24.0
