player_name,espn_id,team,position,season,category,fetched_at,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
Joe Burrow,3915511,CIN,QB,2024,passing,2026-07-03T11:27:48.463855,17.0,460.0,652.0,70.6,4918.0,7.5,289.3,70.0,43.0,9.0,48.0,278.0,72.1,108.5
Jared Goff,3046779,DET,QB,2024,passing,2026-07-03T11:27:48.463855,17.0,390.0,539.0,72.4,4629.0,8.6,272.3,82.0,37.0,12.0,31.0,234.0,65.4,111.8
Baker Mayfield,3052587,TB,QB,2024,passing,2026-07-03T11:27:48.463855,17.0,407.0,570.0,71.4,4500.0,7.9,264.7,57.0,41.0,16.0,40.0,248.0,58.4,106.8
Geno Smith,15864,SEA,QB,2024,passing,2026-07-03T11:27:48.463855,17.0,407.0,578.0,70.4,4320.0,7.5,254.1,71.0,21.0,15.0,50.0,338.0,50.4,93.2
Sam Darnold,3912547,MIN,QB,2024,passing,2026-07-03T11:27:48.463855,17.0,361.0,545.0,66.2,4319.0,7.9,254.1,97.0,35.0,12.0,48.0,335.0,57.3,102.5
Lamar Jackson,3916387,BAL,QB,2024,passing,2026-07-03T11:27:48.463855,17.0,316.0,474.0,66.7,4172.0,8.8,245.4,84.0,41.0,4.0,23.0,149.0,74.8,119.6
Patrick Mahomes,3139477,KC,QB,2024,passing,2026-07-03T11:27:48.463855,16.0,392.0,581.0,67.5,3928.0,6.8,245.5,54.0,26.0,11.0,36.0,239.0,64.6,93.5
Aaron Rodgers,8439,NYJ,QB,2024,passing,2026-07-03T11:27:48.463855,17.0,368.0,584.0,63.0,3897.0,6.7,229.2,71.0,28.0,11.0,40.0,302.0,44.7,90.5
Justin Herbert,4038941,LAC,QB,2024,passing,2026-07-03T11:27:48.463855,17.0,332.0,504.0,65.9,3870.0,7.7,227.6,66.0,23.0,3.0,41.0,244.0,61.7,101.7
Brock Purdy,4361741,SF,QB,2024,passing,2026-07-03T11:27:48.463855,15.0,300.0,455.0,65.9,3864.0,8.5,257.6,76.0,20.0,12.0,31.0,156.0,64.8,96.1
