player_name,espn_id,team,position,season,category,fetched_at,GP,REC,TGTS,BIG,YDS/G,FUM,LST,YAC,FD,REC_YDS,REC_TD,REC_AVG,REC_LNG
Ja'Marr Chase,4362628,CIN,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,127.0,175.0,19.0,100.5,0.0,0.0,787.0,75.0,1708.0,17.0,13.4,70.0
Justin Jefferson,4262921,MIN,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,103.0,154.0,28.0,90.2,1.0,0.0,496.0,62.0,1533.0,10.0,14.9,97.0
Brian Thomas Jr.,4432773,JAX,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,87.0,133.0,18.0,75.4,0.0,0.0,562.0,53.0,1282.0,10.0,14.7,85.0
Drake London,4426502,ATL,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,100.0,158.0,12.0,74.8,0.0,0.0,327.0,67.0,1271.0,9.0,12.7,39.0
Amon-Ra St. Brown,4374302,DET,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,115.0,141.0,14.0,74.3,1.0,1.0,412.0,72.0,1263.0,12.0,11.0,66.0
Jerry Jeudy,4241463,CLE,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,90.0,145.0,13.0,72.3,0.0,0.0,387.0,57.0,1229.0,4.0,13.7,89.0
Malik Nabers,4595348,NYG,WR,2024,receiving,2026-07-03T11:28:11.795543,15.0,109.0,170.0,16.0,80.3,1.0,0.0,462.0,55.0,1204.0,7.0,11.0,59.0
CeeDee Lamb,4241389,DAL,WR,2024,receiving,2026-07-03T11:28:11.795543,15.0,101.0,152.0,16.0,79.6,1.0,1.0,537.0,54.0,1194.0,6.0,11.8,65.0
Brock Bowers,4432665,LV,TE,2024,receiving,2026-07-03T11:28:11.795543,17.0,112.0,153.0,15.0,70.2,0.0,0.0,596.0,61.0,1194.0,5.0,10.7,57.0
Ladd McConkey,4612826,LAC,WR,2024,receiving,2026-07-03T11:28:11.795543,16.0,82.0,112.0,15.0,71.8,2.0,0.0,390.0,52.0,1149.0,7.0,14.0,60.0
Trey McBride,4361307,ARI,TE,2024,receiving,2026-07-03T11:28:11.795543,16.0,111.0,147.0,10.0,71.6,0.0,0.0,513.0,63.0,1146.0,2.0,10.3,37.0
Jaxon Smith-Njigba,4430878,SEA,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,100.0,137.0,14.0,66.5,1.0,0.0,477.0,55.0,1130.0,6.0,11.3,46.0
George Kittle,3040151,SF,TE,2024,receiving,2026-07-03T11:28:11.795543,15.0,78.0,94.0,21.0,73.7,0.0,0.0,522.0,50.0,1106.0,8.0,14.2,43.0
Garrett Wilson,4569618,NYJ,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,101.0,154.0,16.0,64.9,2.0,2.0,442.0,60.0,1104.0,7.0,10.9,42.0
Terry McLaurin,3121422,WSH,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,82.0,117.0,12.0,64.5,0.0,0.0,292.0,56.0,1096.0,13.0,13.4,86.0
Courtland Sutton,3128429,DEN,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,81.0,135.0,17.0,63.6,1.0,1.0,179.0,57.0,1081.0,8.0,13.3,47.0
A.J. Brown,4047646,PHI,WR,2024,receiving,2026-07-03T11:28:11.795543,13.0,67.0,97.0,17.0,83.0,0.0,0.0,353.0,51.0,1079.0,7.0,16.1,67.0
Davante Adams,16800,LV/NYJ,WR,2024,receiving,2026-07-03T11:28:11.795543,14.0,85.0,141.0,16.0,75.9,0.0,0.0,473.0,49.0,1063.0,8.0,12.5,71.0
Zay Flowers,4429615,BAL,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,74.0,116.0,19.0,62.3,0.0,0.0,463.0,48.0,1059.0,4.0,14.3,53.0
Jakobi Meyers,3916433,LV,WR,2024,receiving,2026-07-03T11:28:11.795543,15.0,87.0,129.0,16.0,68.5,0.0,0.0,293.0,52.0,1027.0,4.0,11.8,43.0
Calvin Ridley,3925357,TEN,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,64.0,120.0,19.0,59.8,0.0,0.0,231.0,40.0,1017.0,4.0,15.9,63.0
Nico Collins,4258173,HOU,WR,2024,receiving,2026-07-03T11:28:11.795543,12.0,68.0,99.0,14.0,83.8,0.0,0.0,365.0,48.0,1006.0,7.0,14.8,67.0
Mike Evans,16737,TB,WR,2024,receiving,2026-07-03T11:28:11.795543,14.0,74.0,110.0,15.0,71.7,0.0,0.0,226.0,53.0,1004.0,11.0,13.6,57.0
Jameson Williams,4426388,DET,WR,2024,receiving,2026-07-03T11:28:11.795543,15.0,58.0,91.0,17.0,66.7,0.0,0.0,497.0,41.0,1001.0,7.0,17.3,82.0
Darnell Mooney,4040655,ATL,WR,2024,receiving,2026-07-03T11:28:11.795543,16.0,64.0,106.0,21.0,62.0,0.0,0.0,276.0,48.0,992.0,5.0,15.5,49.0
DK Metcalf,4047650,SEA,WR,2024,receiving,2026-07-03T11:28:11.795543,15.0,66.0,108.0,20.0,66.1,2.0,2.0,263.0,35.0,992.0,5.0,15.0,71.0
Puka Nacua,4426515,LAR,WR,2024,receiving,2026-07-03T11:28:11.795543,11.0,79.0,106.0,11.0,90.0,0.0,0.0,518.0,47.0,990.0,3.0,12.5,51.0
Jauan Jennings,3886598,SF,WR,2024,receiving,2026-07-03T11:28:11.795543,15.0,77.0,113.0,12.0,65.0,1.0,0.0,238.0,47.0,975.0,6.0,12.7,45.0
DJ Moore,3915416,CHI,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,98.0,140.0,11.0,56.8,1.0,1.0,588.0,43.0,966.0,6.0,9.9,44.0
Tyreek Hill,3116406,MIA,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,81.0,123.0,13.0,56.4,0.0,0.0,292.0,54.0,959.0,6.0,11.8,80.0
Tee Higgins,4239993,CIN,WR,2024,receiving,2026-07-03T11:28:11.795543,12.0,73.0,109.0,12.0,75.9,1.0,1.0,228.0,48.0,911.0,10.0,12.5,42.0
George Pickens,4426354,PIT,WR,2024,receiving,2026-07-03T11:28:11.795543,14.0,59.0,103.0,17.0,64.3,1.0,1.0,215.0,37.0,900.0,3.0,15.3,44.0
Marvin Harrison Jr.,4432708,ARI,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,62.0,116.0,14.0,52.1,1.0,1.0,148.0,43.0,885.0,8.0,14.3,60.0
Jonnu Smith,3054212,MIA,TE,2024,receiving,2026-07-03T11:28:11.795543,17.0,88.0,111.0,4.0,52.0,2.0,1.0,510.0,55.0,884.0,8.0,10.0,57.0
Jordan Addison,4429205,MIN,WR,2024,receiving,2026-07-03T11:28:11.795543,15.0,63.0,99.0,13.0,58.3,0.0,0.0,213.0,39.0,875.0,9.0,13.9,69.0
Jayden Reed,4362249,GB,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,55.0,75.0,15.0,50.4,0.0,0.0,380.0,29.0,857.0,6.0,15.6,70.0
DeVonta Smith,4241478,PHI,WR,2024,receiving,2026-07-03T11:28:11.795543,13.0,68.0,89.0,14.0,64.1,0.0,0.0,299.0,42.0,833.0,8.0,12.3,49.0
Alec Pierce,4360078,IND,WR,2024,receiving,2026-07-03T11:28:11.795543,16.0,37.0,69.0,13.0,51.5,0.0,0.0,118.0,32.0,824.0,7.0,22.3,65.0
Travis Kelce,15847,KC,TE,2024,receiving,2026-07-03T11:28:11.795543,16.0,97.0,133.0,9.0,51.4,2.0,1.0,340.0,46.0,823.0,3.0,8.5,38.0
Khalil Shakir,4373678,BUF,WR,2024,receiving,2026-07-03T11:28:11.795543,15.0,76.0,100.0,9.0,54.7,1.0,0.0,597.0,35.0,821.0,4.0,10.8,52.0
Michael Pittman Jr.,4035687,IND,WR,2024,receiving,2026-07-03T11:28:11.795543,16.0,69.0,111.0,12.0,50.5,1.0,1.0,259.0,35.0,808.0,3.0,11.7,33.0
Josh Downs,4688813,IND,WR,2024,receiving,2026-07-03T11:28:11.795543,14.0,72.0,107.0,10.0,57.4,0.0,0.0,396.0,40.0,803.0,5.0,11.2,69.0
Rashod Bateman,4360939,BAL,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,45.0,72.0,11.0,44.5,0.0,0.0,184.0,35.0,756.0,9.0,16.8,59.0
Keenan Allen,15818,CHI,WR,2024,receiving,2026-07-03T11:28:11.795543,15.0,70.0,121.0,9.0,49.6,1.0,0.0,240.0,43.0,744.0,7.0,10.6,45.0
Jaylen Waddle,4372016,MIA,WR,2024,receiving,2026-07-03T11:28:11.795543,15.0,58.0,83.0,12.0,49.6,0.0,0.0,236.0,38.0,744.0,2.0,12.8,63.0
Rome Odunze,4431299,CHI,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,54.0,101.0,8.0,43.2,2.0,1.0,253.0,37.0,734.0,3.0,13.6,47.0
Sam LaPorta,4430027,DET,TE,2024,receiving,2026-07-03T11:28:11.795543,16.0,60.0,83.0,11.0,45.4,0.0,0.0,343.0,39.0,726.0,7.0,12.1,52.0
Quentin Johnston,4429025,LAC,WR,2024,receiving,2026-07-03T11:28:11.795543,15.0,55.0,91.0,12.0,47.4,0.0,0.0,306.0,32.0,711.0,8.0,12.9,66.0
Cooper Kupp,2977187,LAR,WR,2024,receiving,2026-07-03T11:28:11.795543,12.0,67.0,100.0,10.0,59.2,1.0,0.0,269.0,28.0,710.0,6.0,10.6,69.0
Tucker Kraft,4572680,GB,TE,2024,receiving,2026-07-03T11:28:11.795543,17.0,50.0,70.0,11.0,41.6,1.0,1.0,456.0,30.0,707.0,7.0,14.1,67.0
Wan'Dale Robinson,4569587,NYG,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,93.0,140.0,4.0,41.1,0.0,0.0,361.0,36.0,699.0,3.0,7.5,35.0
Ray-Ray McCloud III,3728262,ATL,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,62.0,87.0,8.0,40.4,3.0,1.0,335.0,29.0,686.0,1.0,11.1,60.0
Hunter Henry,3046439,NE,TE,2024,receiving,2026-07-03T11:28:11.795543,16.0,66.0,97.0,4.0,42.1,0.0,0.0,268.0,40.0,674.0,2.0,10.2,35.0
Mark Andrews,3116365,BAL,TE,2024,receiving,2026-07-03T11:28:11.795543,17.0,55.0,69.0,6.0,39.6,0.0,0.0,192.0,39.0,673.0,11.0,12.2,67.0
Deebo Samuel,3126486,SF,WR,2024,receiving,2026-07-03T11:28:11.795543,15.0,51.0,81.0,10.0,44.7,0.0,0.0,421.0,28.0,670.0,3.0,13.1,76.0
Tank Dell,4366031,HOU,WR,2024,receiving,2026-07-03T11:28:11.795543,14.0,51.0,81.0,9.0,47.6,0.0,0.0,164.0,35.0,667.0,3.0,13.1,50.0
Mike Gesicki,3116164,CIN,TE,2024,receiving,2026-07-03T11:28:11.795543,17.0,65.0,83.0,5.0,39.1,1.0,1.0,245.0,38.0,665.0,2.0,10.2,47.0
Zach Ertz,15835,WSH,TE,2024,receiving,2026-07-03T11:28:11.795543,17.0,66.0,91.0,7.0,38.5,1.0,0.0,187.0,38.0,654.0,7.0,9.9,37.0
Pat Freiermuth,4361411,PIT,TE,2024,receiving,2026-07-03T11:28:11.795543,17.0,65.0,78.0,7.0,38.4,3.0,2.0,279.0,32.0,653.0,7.0,10.0,30.0
Xavier Worthy,4683062,KC,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,59.0,98.0,4.0,37.5,0.0,0.0,407.0,36.0,638.0,6.0,10.8,54.0
DeMario Douglas,4427095,NE,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,66.0,87.0,8.0,36.5,1.0,0.0,361.0,31.0,621.0,3.0,9.4,36.0
Christian Watson,4248528,GB,WR,2024,receiving,2026-07-03T11:28:11.795543,15.0,29.0,53.0,12.0,41.3,1.0,1.0,149.0,21.0,620.0,2.0,21.4,60.0
Adam Thielen,16460,CAR,WR,2024,receiving,2026-07-03T11:28:11.795543,10.0,48.0,62.0,9.0,61.5,0.0,0.0,152.0,28.0,615.0,5.0,12.8,40.0
DeAndre Hopkins,15795,KC/TEN,WR,2024,receiving,2026-07-03T11:28:11.795543,16.0,56.0,80.0,6.0,38.1,1.0,0.0,109.0,35.0,610.0,5.0,10.9,35.0
Jalen Tolbert,4249417,DAL,WR,2024,receiving,2026-07-03T11:28:11.795543,17.0,49.0,79.0,8.0,35.9,0.0,0.0,166.0,29.0,610.0,7.0,12.4,48.0
Kyle Pitts Sr.,4360248,ATL,TE,2024,receiving,2026-07-03T11:28:11.795543,17.0,47.0,74.0,7.0,35.4,0.0,0.0,272.0,21.0,602.0,4.0,12.8,52.0
Romeo Doubs,4361432,GB,WR,2024,receiving,2026-07-03T11:28:11.795543,13.0,46.0,72.0,8.0,46.2,0.0,0.0,135.0,33.0,601.0,4.0,13.1,39.0
