player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
Caleb Rogers,Raiders,OT,25.0,4,3,6.161184,1.12086,1.540296,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Dawand Jones,Browns,OT,25.0,1,1,1.5,1.245,1.5,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Storm Norton,Falcons,OT,32.0,2,2,3.0,0.5,1.5,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Chukwuma Okorafor,Jets,OT,29.0,1,1,1.4875,1.1,1.4875,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
David Quessenberry,Rams,OT,36.0,1,1,1.4875,1.2625,1.4875,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Trenton Scott,Commanders,OT,32.0,1,1,1.4875,0.1,1.4875,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Delmar Glaze,Raiders,OT,24.0,4,2,5.86579,1.086028,1.466448,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Tyler Steen,Eagles,OT,26.0,4,1,5.75044,1.182136,1.43761,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Jude Bowry,Bills,OT,,4,4,5.720744,1.275744,1.430186,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Charlie Heck,Dolphins,OT,30.0,1,1,1.4025,0.1875,1.4025,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
James Hudson,Patriots,OT,27.0,1,1,1.4025,0.5375,1.4025,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Jack Driscoll,Steelers,OT,29.0,1,1,1.4025,0.1875,1.4025,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Daniel Faalele,Giants,OT,27.0,1,1,1.4025,0.6875,1.4025,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Drew Shelton,Cowboys,OT,23.0,4,4,5.575428,1.195428,1.393857,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Carver Willis,49ers,OT,24.0,4,4,5.449992,1.066992,1.362498,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Bobby Hart,Seahawks,OT,32.0,1,1,1.3,0.0,1.3,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
John Ojukwu,Eagles,OT,27.0,2,2,2.455,0.025,1.2275,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Landon Young,Jets,OT,29.0,1,1,1.215,0.0,1.215,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Brandon Parker,49ers,OT,31.0,1,1,1.215,0.0,1.215,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Austin Deculus,Titans,OT,27.0,1,1,1.2,0.025,1.2,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Enrique Cruz Jr.,49ers,OT,23.0,4,4,4.759476,0.379476,1.189869,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
J.C. Davis,Giants,OT,23.0,4,4,4.66892,0.28892,1.16723,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Dametrious Crownover,Patriots,OT,,4,4,4.656432,0.276432,1.164108,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Marcus Mbow,Giants,OT,23.0,4,3,4.618384,0.418384,1.154596,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Cameron Williams,Eagles,OT,23.0,4,3,4.451568,0.676568,1.112892,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Bryce Cabeldue,Seahawks,OT,25.0,4,3,4.43226,0.23226,1.108065,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Ajani Cornelius,Cowboys,OT,24.0,4,3,4.413976,0.213976,1.103494,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Chase Lundt,Bills,OT,26.0,4,3,4.404924,0.204924,1.101231,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Christian Jones,Cardinals,OT,26.0,4,2,4.330456,0.310456,1.082614,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Andrew Rupcich,Patriots,OT,27.0,1,1,1.075,0.0,1.075,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Carter Warren,Dolphins,OT,27.0,1,1,1.075,0.0,1.075,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Matt Waletzko,Chiefs,OT,27.0,1,1,1.075,0.0,1.075,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
A.J. Arcuri,Rams,OT,29.0,2,2,2.125,0.0,1.0625,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Mike Jerrell,Falcons,OT,27.0,4,2,4.18006,0.16006,1.045015,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Alex Wollschlaeger,Saints,OT,25.0,3,3,3.13,0.2775,1.043333,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Paul Rubelt,Buccaneers,OT,,3,3,3.13,0.2775,1.043333,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Alan Herron,Saints,OT,23.0,3,3,3.125,0.2725,1.041667,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Tyler Miller,Broncos,OT,25.0,3,3,3.125,0.265,1.041667,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Isaiah Jatta,Raiders,OT,25.0,3,3,3.12,0.12,1.04,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Mason Murphy,Bears,OT,23.0,3,3,3.12,0.2675,1.04,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Corey Robinson II,Bengals,OT,23.0,3,3,3.12,0.02,1.04,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Albert Reese IV,Panthers,OT,22.0,3,3,3.12,0.145,1.04,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Sam Hagen,Texans,OT,23.0,3,3,3.12,0.195,1.04,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Aamil Wagner,Titans,OT,23.0,3,3,3.12,0.2675,1.04,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Da'Metrius Weatherspoon,Bills,OT,24.0,3,3,3.112,0.012,1.037333,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Xavier Hill,Jets,OT,25.0,3,3,3.105,5000.0,1.035,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Derrick Graham,Texans,OT,,3,3,3.1,0.0,1.033333,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Bryce Henderson,Rams,OT,,3,3,3.1,0.0,1.033333,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Demontrey Jacobs,Cardinals,OT,28.0,2,1,2.035,0.0,1.0175,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Ben Chukwuma,Buccaneers,OT,25.0,3,2,3.02,0.3,1.006667,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Donovan Jennings,Packers,OT,27.0,1,1,1.005,0.0,1.005,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Andrew Stueber,Falcons,OT,27.0,1,1,1.005,0.0,1.005,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Theo Benedet,Bears,OT,25.0,1,1,1.005,0.0,1.005,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Josh Fryar,Cardinals,OT,24.0,3,2,3.0,0.269,1.0,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Xavier Truss,Saints,OT,25.0,3,2,2.985,0.17,0.995,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Ethan Driskell,Chiefs,OT,26.0,3,1,2.87,0.265,0.956667,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Frank Crum,Broncos,OT,26.0,3,1,2.855,0.275,0.951667,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Jeremiah Byers,Browns,OT,25.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Brandon Crenshaw-Dickson,Titans,OT,25.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Amari Kight,Seahawks,OT,26.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Chukwuebuka Godrick,Chiefs,OT,26.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Logan Brown,Seahawks,OT,25.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Kilian Zierer,Jaguars,OT,28.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Reid Holskey,Broncos,OT,24.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Lucas Scott,Ravens,OT,23.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Mason Miller,Lions,OT,25.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
Dalton Wagner,Raiders,OT,28.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/right-tackle,2026-07-03T11:19:45.550378
