player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
Stetson Bennett,Rams,QB,29.0,4,1,4.539132,0.699132,1.134783,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Behren Morton,Patriots,QB,24.0,4,4,4.529228,0.149228,1.132307,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Garrett Nussmeier,Chiefs,QB,24.0,4,4,4.500488,0.120488,1.125122,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Will Howard,Steelers,QB,25.0,4,3,4.4481,0.2481,1.112025,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Riley Leonard,Colts,QB,24.0,4,3,4.435244,0.235244,1.108811,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Graham Mertz,Texans,QB,26.0,4,3,4.428484,0.228484,1.107121,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Spencer Rattler,Saints,QB,26.0,4,2,4.35648,0.33648,1.08912,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Aidan O'Connell,Raiders,QB,28.0,4,1,4.34938,0.50938,1.087345,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Kurtis Rourke,49ers,QB,26.0,4,3,4.334236,0.134236,1.083559,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Quinn Ewers,Dolphins,QB,23.0,4,3,4.331576,0.131576,1.082894,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Sean Clifford,Bengals,QB,28.0,1,1,1.075,0.0,1.075,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Joe Milton III,Cowboys,QB,26.0,4,2,4.203316,0.183316,1.050829,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Jalon Daniels,Buccaneers,QB,,3,3,3.125,0.2725,1.041667,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Jack Strand,Falcons,QB,22.0,3,3,3.115,0.2625,1.038333,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Jacob Clark,Raiders,QB,26.0,3,3,3.11,0.01,1.036667,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Miller Moss,Bears,QB,24.0,3,3,3.11,0.21,1.036667,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Luke Altmyer,Lions,QB,,3,3,3.11,0.2575,1.036667,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Haynes King,Panthers,QB,25.0,3,3,3.11,0.21,1.036667,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
Matthew Caldwell,Rams,QB,,3,3,3.106,6000.0,1.035333,2026,,True,https://overthecap.com/position/quarterback,2026-07-03T11:19:36.142155
