player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
CJ Dippre,Patriots,TE,24.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Carter Runyon,Raiders,TE,25.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Moliki Matavao,Saints,TE,23.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Cameron Latu,Eagles,TE,26.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Rivaldo Fairweather,Cardinals,TE,24.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Patrick Herbert,Jaguars,TE,26.0,1,1,0.918667,0.033667,0.918667,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Luke Lachey,Packers,TE,25.0,1,1,0.8925,7500.0,0.8925,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Thomas Gordon,Lions,TE,,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Marshall Lang,Vikings,TE,25.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Mason Pline,Chiefs,TE,26.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Drake Dabney,Packers,TE,24.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Tre Watson,Chiefs,TE,24.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Zach Horton,Lions,TE,24.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Bryson Nesbit,Vikings,TE,24.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
Joshua Simon,Falcons,TE,26.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
TJ Maguranyanga,Commanders,TE,24.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
J.J. Galbreath,Steelers,TE,25.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/tight-end,2026-07-03T11:19:41.839933
