player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
Trystan Colon,Jaguars,C,28.0,1,1,1.215,0.0,1.215,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Tanor Bortolini,Colts,C,24.0,4,2,4.799872,0.779872,1.199968,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Jovaughn Gwyn,Ravens,C,27.0,1,1,1.195,0.0,1.195,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Brian Parker II,Bengals,C,22.0,4,4,4.67782,0.29782,1.169455,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Pat Coogan,Titans,C,24.0,4,4,4.65878,0.27878,1.164695,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Jake Andrews,Texans,C,27.0,4,1,4.648344,0.808344,1.162086,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Matt Gulbin,Commanders,C,24.0,4,4,4.633576,0.253576,1.158394,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Drew Kendall,Eagles,C,25.0,4,3,4.555076,0.355076,1.138769,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Gavin Gerhardt,Vikings,C,24.0,4,4,4.526876,0.146876,1.131719,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Sedrick Van Pran-Granger,Bills,C,25.0,4,2,4.375252,0.355252,1.093813,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Jonah Monheim,Jaguars,C,24.0,4,3,4.344308,0.144308,1.086077,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Hunter Nourzad,Chiefs,C,26.0,4,2,4.339516,0.319516,1.084879,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Jacob Monk,Packers,C,25.0,4,2,4.321616,0.301616,1.080404,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Jimmy Morrissey,Colts,C,28.0,1,1,1.075,0.0,1.075,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Justin Dedich,Rams,C,26.0,1,1,1.075,0.0,1.075,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
Dylan McMahon,Rams,C,25.0,2,2,2.125,0.0,1.0625,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
James Brockermeyer,Falcons,C,24.0,3,3,3.13,0.23,1.043333,2026,,True,https://overthecap.com/position/center,2026-07-03T11:19:49.275299
