player_name,team,position,age,years,years_remaining,total_value,guaranteed,aav,signed_year,contract_type,is_active,source,fetched_at
Parker Robertson,Broncos,S,24.0,3,3,3.11,0.035,1.036667,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Devin Grant,Chargers,S,22.0,3,3,3.11,0.01,1.036667,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Noah Avinger,Chargers,S,25.0,3,3,3.108,8000.0,1.036,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Antonio Johnson,Jaguars,S,25.0,4,1,4.141832,0.301832,1.035458,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Devin Lafayette,Raiders,S,25.0,3,3,3.105,0.016,1.035,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Louis Moore,Dolphins,S,25.0,3,3,3.105,5000.0,1.035,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Zion Washington,Browns,S,23.0,3,3,3.105,5000.0,1.035,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Daijahn Anthony,Bengals,S,26.0,4,2,4.137784,0.117784,1.034446,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Devyn Perkins,Raiders,S,24.0,3,3,3.1,0.0,1.033333,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Tucker Large,Eagles,S,24.0,3,3,3.1,0.08,1.033333,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Peter Manuma,Patriots,S,,3,3,3.1,0.0,1.033333,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
JahQuez Robinson,Ravens,S,25.0,3,3,3.1,0.0,1.033333,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Larry Worth III,49ers,S,,3,3,3.1,0.0,1.033333,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Sanoussi Kane,Titans,S,25.0,2,1,2.035,0.0,1.0175,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Jaylin Simpson,Packers,S,26.0,2,1,2.035,0.0,1.0175,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Josh Hayes,Buccaneers,S,27.0,4,1,4.044376,0.204376,1.011094,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
J.L. Skinner,Broncos,S,25.0,4,1,4.036224,0.196224,1.009056,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
P.J. Jules,Bengals,S,25.0,1,1,1.005,0.0,1.005,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
John Saunders,Patriots,S,25.0,1,1,1.005,0.0,1.005,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Cam'Ron Silmon-Craig,Jaguars,S,24.0,1,1,1.005,0.0,1.005,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Trey Washington,Colts,S,24.0,1,1,1.005,0.0,1.005,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Gervarrius Owens,Bears,S,27.0,1,1,1.005,0.0,1.005,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Qwuantrezz Knight,Commanders,S,29.0,1,1,1.005,0.0,1.005,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Patrick McMorris,49ers,S,25.0,1,1,1.005,0.0,1.005,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
J.J. Roberts,Buccaneers,S,25.0,3,2,2.995,0.3,0.998333,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Wande Owens,Bills,S,25.0,3,2,2.99,0.06,0.996667,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Donovan McMillon,Browns,S,24.0,3,2,2.975,0.21,0.991667,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Malik Verdon,Falcons,S,24.0,3,2,2.975,0.244,0.991667,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
DeMarcco Hellams,Falcons,S,26.0,4,1,3.9463,0.1063,0.986575,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Elliott Davison,Saints,S,25.0,2,2,1.935,0.0,0.9675,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Nate Valcarcel,Rams,S,24.0,2,2,1.935,0.0,0.9675,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Beau Brade,Giants,S,24.0,3,1,2.855,0.045,0.951667,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Tyler Owens,Commanders,S,25.0,3,1,2.85,0.245,0.95,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Jaylen McCollough,Rams,S,26.0,3,1,2.845,0.015,0.948333,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Dell Pettus,Patriots,S,25.0,3,1,2.839,9000.0,0.946333,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Alijah Clark,Cowboys,S,23.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Keondre Jackson,Ravens,S,24.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Dean Clark,Jets,S,25.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Rashad Wisdom,Buccaneers,S,25.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Sebastian Castro,Steelers,S,26.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Johnathan Baldwin,Packers,S,23.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Chris Edmonds,Browns,S,25.0,2,1,1.845,0.0,0.9225,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Maxen Hook,Seahawks,S,25.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Trevian Thomas,Jaguars,S,24.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Major Burns,Dolphins,S,24.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Ben Nikkel,Colts,S,25.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Mark Perry,Packers,S,25.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Emany Johnson,Chargers,S,26.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Jack Henderson,Steelers,S,25.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Max Hurleman,Steelers,S,25.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Robert McDaniel,Commanders,S,26.0,1,1,0.885,0.0,0.885,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
Kendell Brooks,Titans,S,26.0,2,1,1.765,0.0,0.8825,2026,,True,https://overthecap.com/position/safety,2026-07-03T11:19:58.708520
