player_name,espn_id,team,position,season,category,fetched_at,GP,REC,TGTS,BIG,YDS/G,FUM,LST,YAC,FD,REC_YDS,REC_TD,REC_AVG,REC_LNG
Michael Thomas,2976316,NO,WR,2019,receiving,2026-07-03T11:37:32.574676,16.0,149.0,185.0,17.0,107.8,1.0,0.0,582.0,91.0,1725.0,9.0,11.6,49.0
Julio Jones,13982,ATL,WR,2019,receiving,2026-07-03T11:37:32.574676,15.0,99.0,157.0,21.0,92.9,1.0,0.0,360.0,77.0,1394.0,6.0,14.1,54.0
Chris Godwin Jr.,3116165,TB,WR,2019,receiving,2026-07-03T11:37:32.574676,14.0,86.0,121.0,25.0,95.2,0.0,0.0,591.0,63.0,1333.0,9.0,15.5,71.0
Travis Kelce,15847,KC,TE,2019,receiving,2026-07-03T11:37:32.574676,16.0,97.0,136.0,13.0,76.8,1.0,1.0,430.0,65.0,1229.0,5.0,12.7,47.0
DeVante Parker,2576623,MIA,WR,2019,receiving,2026-07-03T11:37:32.574676,16.0,72.0,128.0,21.0,75.1,0.0,0.0,291.0,58.0,1202.0,9.0,16.7,51.0
Keenan Allen,15818,LAC,WR,2019,receiving,2026-07-03T11:37:32.574676,16.0,104.0,149.0,15.0,74.9,0.0,0.0,368.0,63.0,1199.0,6.0,11.5,45.0
Kenny Golladay,2974858,DET,WR,2019,receiving,2026-07-03T11:37:32.574676,16.0,65.0,116.0,22.0,74.4,1.0,1.0,301.0,52.0,1190.0,11.0,18.3,75.0
Amari Cooper,2976499,DAL,WR,2019,receiving,2026-07-03T11:37:32.574676,16.0,79.0,119.0,17.0,74.3,0.0,0.0,245.0,54.0,1189.0,8.0,15.1,53.0
DJ Moore,3915416,CAR,WR,2019,receiving,2026-07-03T11:37:32.574676,15.0,87.0,135.0,13.0,78.3,2.0,1.0,403.0,63.0,1175.0,4.0,13.5,52.0
Jarvis Landry,16790,CLE,WR,2019,receiving,2026-07-03T11:37:32.574676,16.0,83.0,138.0,20.0,73.4,0.0,0.0,440.0,55.0,1174.0,6.0,14.1,65.0
